"","district","FoundationsDensity100k","FoundationsTotal"
"270",9474,15.9,18
"271",9476,25.9,18
"272",9773,19.3,18
"273",3103,14.1,17
"274",5120,15.4,17
"275",5966,12.5,17
"276",7337,15.7,17
"277",8225,11.9,17
"278",9185,18.7,17
"279",9262,9.2,17
"280",9361,40.7,17
"281",9376,11.9,17
"282",9661,9.9,17
"283",10044,8.6,17
"284",14511,7.1,17
"285",14523,7.1,17
"286",14627,6.9,17
"287",14713,6.5,17
"288",15091,12.9,17
"289",3151,9.4,16
"290",3405,20.8,16
"291",7313,36.8,16
"292",7334,12.9,16
"293",8236,8.4,16
"294",9662,14.2,16
"295",10046,17.8,16
"296",15084,8.5,16
"297",16056,38.4,16
"298",7235,10.5,15
"299",8237,13,15
"300",9161,11.9,15
"301",9171,14.1,15
"302",9274,23.3,15
"303",9363,35.9,15
"304",9576,12.2,15
"305",12060,8.7,15
"306",16061,14.7,15
"307",16064,14.2,15
"308",1004,18.1,14
"309",3156,18.4,14
"310",3157,10.8,14
"311",7132,10.8,14
"312",9183,13.1,14
"313",3451,11,13
"314",3462,23,13
"315",7231,11.6,13
"316",7317,32,13
"317",8327,9.8,13
"318",9263,29.1,13
"319",9372,10.4,13
"320",9375,7.1,13
"321",9563,11.5,13
"322",10043,9.6,13
"323",15001,15.2,13
"324",15083,7.4,13
"325",15090,11,13
"326",5915,6.8,12
"327",7333,15.8,12
"328",9261,8.1,12
"329",9276,15.7,12
"330",12073,9.7,12
"331",15081,13.7,12
"332",3154,12.1,11
"333",3402,22.1,11
"334",7311,23.6,11
"335",7320,32.2,11
"336",9172,10.9,11
"337",9277,9.4,11
"338",9374,11.4,11
"339",9461,7.7,11
"340",9663,7,11
"341",10042,10.6,11
"342",12061,6.9,11
"343",14730,5.5,11
"344",15087,7.5,11
"345",15088,5.8,11
"346",16062,12.7,11
"347",16073,9.8,11
"348",3401,13.6,10
"349",9377,13.4,10
"350",9463,11.4,10
"351",9771,7.9,10
"352",16066,7.9,10
"353",16070,9.1,10
"354",6632,7.5,9
"355",7336,12.4,9
"356",9272,11.5,9
"357",12051,12.6,9
"358",13072,4.2,9
"359",16067,6.6,9
"360",5512,6.8,8
"361",9174,5.7,8
"362",9186,6.8,8
"363",9478,11.9,8
"364",9565,20.7,8
"365",12062,7.3,8
"366",12064,4.3,8
"367",12066,6.8,8
"368",12067,4.5,8
"369",12072,5,8
