"","district","DistrictName","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","EastWest"
"43",13071,"Mecklenburgische Seenplatte",2013,"13071y2013",1005,870,179,316,403,3,79,2080,402,3125,72,169,2
"44",13072,"Landkreis Rostock",2013,"13072y2013",698,782,176,248,313,5,52,1650,245,2613,71,174,2
"45",13073,"Vorpommern-Rügen",2013,"13073y2013",1155,827,102,328,421,4,66,2268,516,3341,62,149,2
"46",13074,"Nordwestmecklenburg",2013,"13074y2013",694,621,116,204,256,5,46,1476,208,2052,40,118,2
"47",13075,"Vorpommern-Greifswald",2013,"13075y2013",973,809,122,396,527,6,118,2514,542,4419,160,399,2
"48",13076,"Ludwigslust-Parchim",2013,"13076y2013",737,775,174,299,390,3,77,1621,152,2431,64,159,2
"49",14511,"Chemnitz",2013,"14511y2013",900,931,204,350,480,5,122,2952,836,4213,121,244,2
"50",14521,"Erzgebirgskreis",2013,"14521y2013",727,533,106,228,302,3,63,1745,200,2296,33,121,2
"51",14522,"Mittelsachsen",2013,"14522y2013",792,821,103,248,332,4,75,2216,602,3138,47,143,2
"52",14523,"Vogtlandkreis",2013,"14523y2013",696,795,95,168,238,6,54,1652,439,2359,39,144,2
"53",14524,"Zwickau",2013,"14524y2013",1069,800,95,361,504,5,129,2729,524,3631,96,220,2
"54",14612,"Dresden",2013,"14612y2013",2014,2348,799,709,1065,11,321,5551,1902,12717,255,485,2
"55",14625,"Bautzen",2013,"14625y2013",1017,675,254,236,346,3,98,2077,361,3129,75,132,2
"56",14626,"Görlitz",2013,"14626y2013",1195,862,578,312,479,7,153,2240,429,4293,58,185,2
"57",14627,"Meißen",2013,"14627y2013",636,550,113,172,243,4,60,1622,291,2608,28,89,2
"58",14628,"Sächsische Schweiz-Osterzgebirge",2013,"14628y2013",636,585,168,157,234,3,68,1664,438,2450,39,103,2
"59",14713,"Leipzig",2013,"14713y2013",2616,5757,563,1053,1615,16,523,7474,2430,19136,697,1304,2
"60",14729,"Leipzig",2013,"14729y2013",875,1144,146,210,291,7,64,1695,284,3554,104,323,2
"61",14730,"Nordsachsen",2013,"14730y2013",710,605,120,186,266,2,74,1502,237,2687,60,127,2
"62",15001,"Dessau-Roßlau",2013,"15001y2013",453,507,104,190,281,5,78,931,188,1974,40,89,2
