"","district","DistrictName","MurderRate","lon","lat"
"86",5366,"Euskirchen",1.06702518712954,6.7899945,50.6574392
"87",5370,"Heinsberg",2.0142366244617,6.1183729,51.0600381
"88",5374,"Oberbergischer Kreis",2.21983795182952,7.5897206,50.974912
"89",5378,"Rheinisch-Bergischer Kreis",0.359143801177992,7.1712599,51.0014241
"90",5382,"Rhein-Sieg-Kreis",1.71738682420828,7.3151694,50.7413608
"91",5512,"Bottrop",3.4466416785145,6.9446888,51.529086
"92",5513,"Gelsenkirchen",3.10257901880939,7.0857172,51.517744
"93",5515,"Münster",0.333658093878041,NA,NA
"94",5554,"Borken",0.823562677237551,6.8594477,51.8482714
"95",5558,"Coesfeld",0.464507018701053,7.1675831,51.9382944
"96",5562,"Recklinghausen",1.7918869873167,7.1979453,51.6140649
"97",5566,"Steinfurt",0.230159661757361,7.3334636,52.1445658
"98",5570,"Warendorf",0.733613818349882,7.9908987,51.9538685
"99",5711,"Bielefeld",0.912231195874282,8.5324708,52.0302285
"100",5754,"Gütersloh",2.27057280875533,NA,NA
"101",5758,"Herford",2.00812890581072,8.6793998,52.1178305
"102",5762,"Höxter",1.40067792811721,NA,NA
"103",5766,"Lippe",2.89541193025532,8.9865279,51.9759031
"104",5770,"Minden-Lübbecke",2.26276522840999,8.8949206,52.2964919
"105",5774,"Paderborn",1.01116324219382,8.7575093,51.7189205
"106",5911,"Bochum",2.48801605599695,7.2162363,51.4818445
"107",5913,"Dortmund",3.29893184059561,7.4652981,51.5135872
"108",5914,"Hagen",1.07529194176219,7.4632841,51.3670777
"109",5915,"Hamm",2.27210760701627,7.8159816,51.6738583
"110",5916,"Herne",1.9427912729816,7.2009147,51.5368948
"111",5954,"Ennepe-Ruhr-Kreis",1.23942230526352,7.3417423,51.3482575
"112",5958,"Hochsauerlandkreis",3.4351276149909,8.3851207,51.2990466
"113",5962,"Märkischer Kreis",3.36344416682683,NA,NA
"114",5966,"Olpe",0.741031664283015,7.8502943,51.0282107
"115",5970,"Siegen-Wittgenstein",0.363763350114949,8.2212042,50.9320114
"116",5974,"Soest",1.35606551152486,8.105754,51.5711476
"117",5978,"Unna",1.27674134752389,7.6853114,51.5426349
"118",6411,"Darmstadt",0.667810849255057,8.6511929,49.8728253
"119",6412,"Frankfurt am Main",4.84779354102802,8.6821267,50.1109221
"120",6413,"Offenbach am Main",6.71124048891387,8.7760843,50.0956362
"121",6414,"Wiesbaden",4.74676033607063,8.2397608,50.0782184
"122",6431,"Bergstraße",3.81210878233621,NA,NA
"123",6432,"Darmstadt-Dieburg",2.45263781196677,8.8444959,49.9010547
"124",6433,"Groß-Gerau",1.94324934609659,NA,NA
"125",6434,"Hochtaunuskreis",3.92726701488434,8.54839,50.240598
"126",6435,"Main-Kinzig-Kreis",3.95066605760565,9.304936,50.2652761
"127",6436,"Main-Taunus-Kreis",1.31566829370979,8.4276712,50.1043397
"128",6437,"Odenwaldkreis",0,8.9904016,49.6285491
"129",6438,"Offenbach",1.77357375110848,8.7760843,50.0956362
"130",6439,"Rheingau-Taunus-Kreis",1.65572051437717,8.1104164,50.1891679
"131",6440,"Wetteraukreis",5.07772301359476,8.9120439,50.3794495
"132",6531,"Gießen",8.66755968796785,NA,NA
"133",6532,"Lahn-Dill-Kreis",9.94720026101453,8.3585875,50.6709711
"134",6533,"Limburg-Weilburg",6.47195876773905,8.1815446,50.4333676
"135",6534,"Marburg-Biedenkopf",4.55192505048499,8.7250641,50.8114016
"136",6535,"Vogelsbergkreis",4.69999906000019,9.307901,50.598629
"137",6611,"Kassel",8.24372575185355,9.4797461,51.3127114
"138",6631,"Fulda",3.23603650249175,9.6808449,50.5558095
"139",6632,"Hersfeld-Rotenburg",5.85034809571169,9.7398757,50.8985515
"140",6633,"Kassel",1.28561143679934,9.4797461,51.3127114
"141",6634,"Schwalm-Eder-Kreis",4.45858807662084,9.4057305,51.0523685
"142",6635,"Waldeck-Frankenberg",1.91562318414886,8.8549242,51.2220857
"143",6636,"Werra-Meißner-Kreis",5.97871577185221,NA,NA
"144",7111,"Koblenz",1.80761548403424,7.5889959,50.3569429
"145",7131,"Ahrweiler",0.793008834118412,7.11977,50.5418199
"146",7132,"Altenkirchen (Westerwald)",0,7.645556,50.687222
"147",7133,"Bad Kreuznach",2.57570976902323,7.8731346,49.8440162
"148",7134,"Birkenfeld",2.47914419942236,7.1631611,49.6512438
"149",7135,"Cochem-Zell",3.16445682098668,7.1701795,50.1474176
"150",7137,"Mayen-Koblenz",1.43003551254856,7.3110906,50.3253123
"151",7138,"Neuwied",2.22898347208755,7.4664546,50.4361866
"152",7140,"Rhein-Hunsrück-Kreis",0,NA,NA
"153",7141,"Rhein-Lahn-Kreis",0,7.8244911,50.2917917
"154",7143,"Westerwaldkreis",1.00652226427249,7.8933078,50.5366348
"155",7211,"Trier",0.932548748985853,6.6371433,49.749992
"156",7231,"Bernkastel-Wittlich",2.71142322605135,7.0041761,49.9308031
"157",7232,"Eifelkreis Bitburg-Prüm",0,NA,NA
"158",7233,"Vulkaneifel",1.64568419320332,6.7810629,50.2745932
"159",7235,"Trier-Saarburg",0.692823046065804,6.725129,49.6186654
"160",7311,"Frankenthal (Pfalz)",0,8.3512342,49.5431853
"161",7312,"Kaiserslautern",3.08762685000309,7.7491265,49.4400657
"162",7313,"Landau in der Pfalz",0,8.1185622,49.198886
"163",7314,"Ludwigshafen am Rhein",3.09563020839783,8.44518,49.47741
"164",7315,"Mainz",3.42687058178471,8.2472526,49.9928617
"165",7316,"Neustadt an der Weinstraße",1.90839694656489,NA,NA
"166",7317,"Pirmasens",7.4811101967532,7.6002161,49.201555
"167",7318,"Speyer",0,8.4412172,49.3172765
"168",7319,"Worms",0,8.3507182,49.6341372
"169",7320,"Zweibrücken",0,NA,NA
"170",7331,"Alzey-Worms",1.59727823788265,8.0957661,49.7771297
"171",7332,"Bad Dürkheim",0,NA,NA
"172",7333,"Donnersbergkreis",0,7.9483049,49.6229588
"173",7334,"Germersheim",0.797232010459684,8.3668146,49.2140244
"174",7335,"Kaiserslautern",0,7.7491265,49.4400657
"175",7336,"Kusel",1.40650932515683,12.0743027,52.2278506
"176",7337,"Südliche Weinstraße",0,NA,NA
"177",7338,"Rhein-Pfalz-Kreis",0.670834786808705,8.3756735,49.4082543
"178",7339,"Mainz-Bingen",1.96716796663683,8.0600235,49.9238777
"179",7340,"Südwestpfalz",1.03520740380335,NA,NA
"180",8111,"Stuttgart",3.14414931730589,9.1829321,48.7758459
