"","district","marriageTotal"
"406",13056,29774
"407",13057,50348
"408",13058,54857
"409",13059,48879
"410",13060,45159
"411",13061,30528
"412",13062,32620
"413",13071,NA
"414",13072,NA
"415",13073,NA
"416",13074,NA
"417",13075,NA
"418",13076,NA
"419",14161,NA
"420",14166,NA
"421",14167,NA
"422",14171,NA
"423",14173,NA
"424",14177,NA
"425",14178,NA
"426",14181,NA
"427",14182,NA
"428",14188,NA
"429",14191,NA
"430",14193,NA
"431",14262,NA
"432",14263,NA
"433",14264,NA
"434",14272,NA
"435",14280,NA
"436",14284,NA
"437",14285,NA
"438",14286,NA
"439",14287,NA
"440",14290,NA
"441",14292,NA
"442",14365,NA
"443",14374,NA
"444",14375,NA
"445",14379,NA
"446",14383,NA
"447",14389,NA
"448",14511,104546
"449",14521,180594
"450",14522,154987
"451",14523,116050
"452",14524,161413
"453",14612,196810
"454",14625,152170
"455",14626,126396
"456",14627,117443
"457",14628,118629
"458",14713,190726
"459",14729,126074
"460",14730,95068
"461",15001,40290
"462",15002,89754
"463",15003,92935
"464",15081,40807
"465",15082,80666
"466",15083,86188
"467",15084,89466
"468",15085,107638
"469",15086,44968
"470",15087,73705
"471",15088,93937
"472",15089,97527
"473",15090,54382
"474",15091,63863
"475",15101,NA
"476",15151,NA
"477",15153,NA
"478",15154,NA
"479",15159,NA
"480",15171,NA
"481",15202,NA
"482",15256,NA
"483",15260,NA
"484",15261,NA
"485",15265,NA
"486",15266,NA
"487",15268,NA
"488",15303,NA
"489",15352,NA
"490",15355,NA
"491",15357,NA
"492",15358,NA
"493",15362,NA
"494",15363,NA
"495",15364,NA
"496",15367,NA
"497",15369,NA
"498",15370,NA
"499",16051,78962
"500",16052,42693
"501",16053,40192
"502",16054,18002
"503",16055,24417
"504",16056,18153
"505",16061,51650
"506",16062,41814
"507",16063,64686
"508",16064,51020
"509",16065,39797
"510",16066,62717
"511",16067,64669
"512",16068,34883
"513",16069,31555
"514",16070,50751
"515",16071,39584
"516",16072,29048
"517",16073,53691
"518",16074,41200
"519",16075,40634
"520",16076,51673
"521",16077,47813
"522",3241001,194052
"523",5334002,91152
"524",10041100,69378
"2",2,653900
"11",11,1195422
