"","district","EntitledVoteTotal","TurnoutPercentage","VoteConservativesTotal","VoteSocialDemocratsTotal","VoteGreensTotal","VoteLiberalsTotal","VoteLeftTotal","VoteOthersTotal"
"115",5758,193511,71.1,52974,48056,10359,5609,7999,11039
"116",5762,114147,73.7,42941,21246,4537,4193,3716,6417
"117",5766,271671,72.7,76355,68044,14852,8928,10547,16416
"118",5770,243969,70.4,69915,58034,12465,7829,8524,13183
"119",5774,227078,71,81916,36911,11506,8047,8423,12600
"121",5911,279860,72.3,59659,79434,18334,7227,15896,19358
"122",5913,420647,68.1,82316,111863,27155,11246,22221,28686
"123",5914,136908,67.1,31370,33795,5948,3874,6410,9306
"124",5915,128218,69.7,33474,33562,5226,3424,5509,7192
"125",5916,115053,68.3,21938,34208,4608,2163,6288,8202
"126",5954,257169,73.9,63986,70531,15929,8707,11908,16831
"127",5958,205948,73.7,74530,42054,7161,7625,7055,11621
"128",5962,313028,70,89552,69679,12493,10400,12629,21764
"129",5966,103997,73.7,41421,18641,3204,3725,2947,6020
"130",5970,215751,72.6,64307,49563,9937,7327,8920,14842
"131",5974,232311,72.3,74380,50439,11565,8218,8721,12823
"132",5978,309941,72.9,74304,90103,16331,8579,14017,20286
"135",6411,104846,74.3,23789,20896,13613,3859,6199,8050
"136",6412,414972,70.7,97081,76466,41563,20188,24462,28141
"137",6413,66773,65.6,14271,11699,5312,2168,3821,5346
"138",6414,189698,69.8,50187,36041,15133,8801,7668,11853
"139",6431,199685,74.3,61337,39838,12520,7975,7025,15864
"140",6432,213250,76.1,60354,46391,17114,8100,8872,16991
"141",6433,174002,73.2,45389,37781,13129,5762,7693,13935
"142",6434,164977,78.9,56153,27994,12609,11738,5594,13592
"143",6435,300303,72.8,85862,59401,17961,11075,12372,25479
"144",6436,165510,78.7,55420,29250,12914,10134,5573,14238
"145",6437,72165,73.1,19374,15937,4210,2438,3154,5783
"146",6438,238993,75.2,74005,43948,16963,11180,9484,19461
"147",6439,138232,77.6,46154,26761,10020,7099,4673,10196
"148",6440,224114,74.1,65501,44800,14519,9239,8449,19235
"150",6531,195638,73.2,53098,41316,14215,6964,9322,14819
"151",6532,192843,68.9,54660,38980,9262,5653,6716,14151
"152",6533,130580,71.3,41292,24715,6159,4602,4214,9632
"153",6534,184686,70.9,46993,42749,13443,5111,8720,10893
"154",6535,87084,73,24755,19108,4454,3271,3336,6681
"156",6611,142558,68.5,28003,30040,14267,3882,9883,9252
"157",6631,169080,73.3,65276,24218,7900,5700,5245,12720
"158",6632,96830,72.6,25618,24865,4289,2637,3674,7145
"159",6633,191012,75.5,46470,54063,12180,5344,8383,13250
"160",6634,145635,75.1,36369,39851,8040,4707,5758,10866
"161",6635,126432,71,35329,27750,6767,5140,4454,7828
"162",6636,83373,73.3,20254,22048,4579,2377,3910,5857
"165",7111,85008,70.6,25379,15596,5668,3404,3524,5675
"166",7131,100486,75.3,37355,16409,5118,4750,3540,7451
"167",7132,101640,71.3,32813,20638,4151,3244,3831,6742
"168",7133,121082,72.4,35392,26840,6038,5002,4646,8210
"169",7134,66391,67.2,17943,13868,2183,2234,2839,4609
