"","district","DistrictName","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","EastWest","HusbandAndWifeTotal","PropwHochschulreife","PropwoHauptschulabschluss","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage","TotalArea","TotalPopulation","MalePopulation","FemalePopulation","DensityPerSQRTkm","Pop0to17","Pop18to24","Pop25to44","Pop45to64","PopOver65","InfluxTotal","OutflowTotal","BelieversProtestant","BelieversTotal","BelieversRomanCatholic","BelieversOthersNoNoResponse","EntitledVoteTotal","TurnoutPercentage","VoteConservativesTotal","VoteSocialDemocratsTotal","VoteGreensTotal","VoteLiberalsTotal","VoteLeftTotal","VoteOthersTotal","FoundationsDensity100k","FoundationsTotal","ForeignersTotal","MarriagePercentage","MalePercentage","YouthPercentage","ForeignerPercentage","FlowPercentage","MurderRate","CrimeViolent","ViolentCrimeRate","CrimeNonViolent","NonViolentCrimeRate","CrimeTotal","CrimeRate"
"12",1057,"Plön",2013,"1057y2013",514,363,26,123,152,0,20,933,160,1407,56,241,1,743,23.1,8.1,3582,372,6.4,1083.18,126643,61181,65462,117,16.4,6.6,20.1,32,24.9,9311,8758,71848,127676,6520,49308,104178,77,31491,25097,8103,4425,3532,6745,29.1,37,3082,0.586688565495132,48.3098157813697,0.00521150004342917,2.43361259603768,14.2676658007154,0,123,97.1234099002708,3206,2531.52562715665,3995,3154.53676871205
"13",1058,"Rendsburg-Eckernförde",2013,"1058y2013",1100,921,86,338,459,4,78,1590,191,3284,291,899,1,1292,26.5,8.1,7687,926,6.4,2186.26,268075,131328,136747,123,17.6,7,21.5,31.6,22.3,20450,19444,154742,269362,13460,101162,216682,75.7,66205,50850,15287,9146,6992,13770,23.1,62,7231,0.481954676862818,48.98927538935,0.00261120954956635,2.69737946470204,14.8816562529143,1.49211974260934,342,127.576237993099,7340,2738.03972768815,9241,3447.16963536324
"14",1059,"Schleswig-Flensburg",2013,"1059y2013",704,508,51,167,228,6,36,1026,97,1695,60,264,1,1128,23.9,8.5,7878,948,8.6,2071.35,195135,96268,98867,94,17.6,7.3,21.3,31.2,22.6,16080,15545,124655,196025,8845,62525,156623,74,47211,35916,10227,6004,5304,9709,16.3,32,5723,0.578061342147744,49.3340507853537,0.00374099982063699,2.93284136623363,16.2067286750199,3.0747943731263,173,88.6565710918082,3737,1915.08442872883,4842,2481.35905911292
"15",1060,"Segeberg",2013,"1060y2013",1026,1422,124,249,388,4,105,1996,414,4287,240,727,1,1098,28.7,7.2,7171,695,5.7,1344.38,263202,129249,133953,196,17.2,6.9,23.7,31,21.1,19516,17899,116889,260665,14740,129036,208464,74.1,63784,45548,12480,8870,7544,14831,9.2,24,12769,0.417170082294207,49.1063897690747,0.00262156062643901,4.85140690420286,14.2153175127849,1.51974529068928,253,96.123889636097,9315,3539.10684569266,10982,4172.46069558742
"16",1061,"Steinburg",2013,"1061y2013",550,450,48,139,227,1,69,903,103,1925,119,330,1,566,26.9,7,4156,527,6.9,1056.12,130017,63915,66102,123,16.9,7.5,21.6,32.1,21.9,9570,9105,76910,130785,5531,48342,105499,72.3,30920,22999,6064,4366,3972,7154,19.2,25,4540,0.435327687917734,49.1589561365052,0.00576847643000531,3.49185106562988,14.3635063107132,0.769130190667374,140,107.678226693432,3947,3035.75686256413,4864,3741.04924740611
"17",1062,"Stormarn",2013,"1062y2013",831,1282,197,204,297,5,70,1469,279,3593,438,1018,1,1285,45.3,4.4,5067,493,4.7,766.33,234674,114044,120630,306,17.4,6.4,22.7,31,22.5,17506,15484,97836,230556,15539,117180,185837,77.4,58049,42434,13745,8538,6737,13278,16.9,39,10557,0.547568115769109,48.5967768052703,0.00272718750266327,4.49858101025252,14.0577993301346,2.13061523645568,209,89.0597168838474,8346,3556.42295269182,9683,4126.14946692007
"18",3101,"Braunschweig",2013,"3101y2013",1772,816,212,750,997,10,202,2664,892,5858,197,441,1,1147,46.3,5.9,9301,632,7.8,192.17,247227,121376,125851,1287,14.5,9.1,28.9,26.8,20.7,19378,17406,95912,242537,33975,112650,193799,74.2,48419,47741,17614,6214,9527,12770,46.3,113,19623,0.46394609003062,49.0949613108601,0.00368082774130657,7.9372398645779,14.8786338061781,4.04486564978744,760,307.409789383846,11282,4563.41742609019,14811,5990.85051390018
"19",3102,"Salzgitter",2013,"3102y2013",466,297,34,171,227,3,41,815,72,1215,56,123,1,334,20.5,3.3,4680,451,10.4,223.92,98197,47873,50324,439,16.3,7.8,22.1,29.9,23.9,4340,3720,40036,98895,17458,41401,75402,68.8,17002,21406,2987,1519,3549,4671,6.1,6,9429,0.340132590608674,48.7519985335601,0.00794321618786725,9.60212633787183,8.20799006079616,3.05508314917971,174,177.194822652423,2653,2701.71186492459,3520,3584.63089503753
"20",3103,"Wolfsburg",2013,"3103y2013",577,700,179,162,255,7,73,1090,77,2346,103,233,1,663,38.1,4,3153,306,5.4,204.06,122457,60349,62108,600,15.2,7.8,26.5,28,22.5,6703,5685,48248,119984,20677,51059,92819,69.7,26799,21748,4416,2348,3263,5401,14.1,17,13231,0.541414537347804,49.2817887095062,0.0063695827923271,10.8046089647795,10.116204055301,5.71629224952432,169,138.007627167087,4801,3920.55986999518,5802,4737.98966167716
"21",3151,"Gifhorn",2013,"3151y2013",686,374,51,219,285,4,42,987,116,1629,67,211,1,698,25.8,4.7,4698,521,5.7,1562.83,171475,85335,86140,110,18.3,7.6,23.2,32.3,18.7,10449,9748,93112,171333,14895,63324,134366,73.9,43254,31642,7236,3657,4460,8157,9.4,16,7563,0.407056422218982,49.7652719055256,0.00443213296398892,4.41055547455897,11.7783933518006,2.33270155999417,223,130.048111969675,3477,2027.70083102493,4671,2724.01224668319
"22",3152,"Göttingen",2013,"3152y2013",1349,710,109,454,592,8,109,1954,346,4528,133,319,1,1000,41.6,4.3,8725,679,7.5,1117.24,248249,121071,127178,222,15.3,9.9,25.7,29,20.1,24465,23508,112065,248037,54429,81543,195780,75.2,51705,47816,18998,5905,9372,12147,29.4,73,16081,0.402821360811121,48.7699849747632,0.0039879314720301,6.47777030320364,19.3245491421919,3.22257088648897,462,186.103468694738,8208,3306.35772953768,10611,4274.33745956681
"23",3153,"Goslar",2013,"3153y2013",739,337,41,242,340,5,70,1112,155,1480,65,170,1,731,27.3,5.8,5995,495,9.9,965.29,137833,67603,70230,143,13.7,7.7,21.2,30.6,26.8,8180,7738,75630,140137,15934,48573,112517,70.8,30108,29263,5070,3307,4380,6482,30.8,43,7614,0.53035194764679,49.0470351802544,0.00558647058396756,5.52407623718558,11.5487582799475,3.62757830127763,247,179.202368083115,3430,2488.51871467646,4756,3450.55248017528
"24",3154,"Helmstedt",2013,"3154y2013",385,319,57,152,187,2,22,650,123,1024,48,125,1,356,31.4,6,3532,344,8.3,674,90423,44586,45837,134,15.2,7.2,22,32.5,23.1,5495,4893,48588,91410,9996,32826,74709,71.9,20975,19133,3553,1910,2553,4914,12.1,11,3491,0.393705141391018,49.3082512192694,0.00796257589330148,3.86074339493271,11.4882275527244,2.21182663702819,154,170.310651051171,2368,2618.80273824138,3094,3421.69580748261
"25",3155,"Northeim",2013,"3155y2013",540,304,34,184,238,3,39,708,79,1107,53,135,1,624,33.5,4.3,5078,503,8.1,1267.06,134661,65926,68735,106,15.5,6.9,20.9,32.4,24.2,6500,6368,87137,137445,15268,35041,110737,72.6,29624,30983,5647,3032,3586,6182,24.2,33,5135,0.463385835542585,48.9570105672763,0.00512397798917281,3.81327927165252,9.55584764705445,2.22781651703166,187,138.86722956164,2459,1826.06693846028,3424,2542.6812514388
