"","year","district","PropwHochschulreife","PropwoHauptschulabschluss"
"216",2013,8135,25.4,4.2
"217",2013,8136,26.6,3.9
"219",2013,8211,45.6,4.9
"220",2013,8212,41.4,5.9
"221",2013,8215,27,3.7
"222",2013,8216,23.1,5.8
"223",2013,8221,55.2,1.6
"224",2013,8222,33.3,5.8
"225",2013,8225,25.4,4.8
"226",2013,8226,29.7,4.6
"227",2013,8231,31.1,5
"228",2013,8235,23.3,4.1
"229",2013,8236,20.3,4.3
"230",2013,8237,19.4,5.9
"232",2013,8311,44.3,5.2
"233",2013,8315,29.1,3.7
"234",2013,8316,17.9,5.8
"235",2013,8317,26.9,4.1
"236",2013,8325,25.5,3.9
"237",2013,8326,22.1,6.2
"238",2013,8327,20.5,4.6
"239",2013,8335,26.8,3.7
"240",2013,8336,25.1,3.1
"241",2013,8337,22.2,4.6
"243",2013,8415,27.1,4.9
"244",2013,8416,38,5.4
"245",2013,8417,19.4,4.5
"246",2013,8421,41.8,4.7
"247",2013,8425,18.4,4.6
"248",2013,8426,21.1,4.4
"249",2013,8435,25.7,6
"250",2013,8436,22.2,5.3
"251",2013,8437,27.9,5.7
"254",2013,9161,32.8,4.4
"255",2013,9162,32.8,6
"256",2013,9163,32.7,6.2
"257",2013,9171,23.2,3.2
"258",2013,9172,22.1,4.6
"259",2013,9173,30,2.2
"260",2013,9174,25.4,5
"261",2013,9175,35.6,5.7
"262",2013,9176,21.7,1.7
"263",2013,9177,23.6,2.8
"264",2013,9178,24.3,3.7
"265",2013,9179,39.3,2.7
"266",2013,9180,36.8,2.2
"267",2013,9181,26.4,5.4
"268",2013,9182,19.9,3
"269",2013,9183,20.7,5
"270",2013,9184,48.3,3.4
"271",2013,9185,20.1,3.6
"272",2013,9186,23.6,6.3
"273",2013,9187,21.2,4.3
"274",2013,9188,45.3,3.5
"275",2013,9189,23.9,3.9
"276",2013,9190,24.7,3.6
"278",2013,9261,31.5,3.2
"279",2013,9262,30.8,3.7
"280",2013,9263,36.4,5
"281",2013,9271,23,3.6
"282",2013,9272,23.5,3
"283",2013,9273,25,3.8
"284",2013,9274,12.3,3.2
"285",2013,9275,20.4,3.4
"286",2013,9276,16.5,3.3
"287",2013,9277,20,3.9
"288",2013,9278,18.6,2
"289",2013,9279,24.4,2.7
"291",2013,9361,33.5,6.8
"292",2013,9362,37.5,4.7
"293",2013,9363,31.7,3.2
"294",2013,9371,10.8,2.5
"295",2013,9372,19.2,2
"296",2013,9373,22.6,2.5
"297",2013,9374,17.2,3.8
"298",2013,9375,13.7,2.8
"299",2013,9376,24.8,2.5
"300",2013,9377,14.5,3.8
"302",2013,9461,55.4,3.1
"303",2013,9462,42.8,3.9
"304",2013,9463,36.2,5.3
"305",2013,9464,34,6
"306",2013,9471,NA,3.1
"307",2013,9472,11.6,3.5
"308",2013,9473,19.6,5.7
"309",2013,9474,28.7,3.1
"310",2013,9475,22.7,4.3
"311",2013,9476,27.3,4.2
"312",2013,9477,28.2,8.6
"313",2013,9478,21.3,5.6
"314",2013,9479,26.5,5.5
"316",2013,9561,39.6,2.9
"317",2013,9562,49.9,3.8
"318",2013,9563,28.9,7.9
"319",2013,9564,29.8,7.5
"320",2013,9565,37.2,4.7
"321",2013,9571,18.6,6.5
"322",2013,9572,37.6,2.4
"323",2013,9573,39.5,2.1
"324",2013,9574,29.3,6.4
"325",2013,9575,23.8,5
"326",2013,9576,25.8,6.3
"327",2013,9577,26.8,2.6
"329",2013,9661,38.6,3.8
"330",2013,9662,37.2,5
"331",2013,9663,39.5,5.5
"332",2013,9671,21.2,4.8
"333",2013,9672,27.1,1.7
"334",2013,9673,25.5,4.1
"335",2013,9674,22.5,3.2
"336",2013,9675,34.8,3.9
"337",2013,9676,21.5,3.3
"338",2013,9677,25.8,2.4
"339",2013,9678,NA,5.8
"340",2013,9679,15.3,3.9
"342",2013,9761,32.7,4.6
"343",2013,9762,29.2,5.1
"344",2013,9763,23.2,6.7
"345",2013,9764,22.3,6.6
"346",2013,9771,17.1,3.7
"347",2013,9772,19.2,5.7
"348",2013,9773,25.6,4.2
"349",2013,9774,27.3,7.2
"350",2013,9775,21.4,6.4
"351",2013,9776,29,4.2
"352",2013,9777,17.6,3.6
"353",2013,9778,23.7,2.7
"354",2013,9779,19.3,3.4
"355",2013,9780,16.6,2.7
"357",2013,10041,33.6,6.2
"359",2013,10042,25.4,5.4
"360",2013,10043,24.7,5.4
"361",2013,10044,32.6,3.5
"362",2013,10045,32.9,4.5
"363",2013,10046,33.7,4.9
"366",2013,12051,37.6,7.4
"367",2013,12052,45.2,8.6
"368",2013,12053,41.5,6.8
"369",2013,12054,55,4.2
"370",2013,12060,37.3,7.1
"371",2013,12061,37.5,7.1
"372",2013,12062,32.1,8.6
"373",2013,12063,42,7.3
"374",2013,12064,30.6,8.7
"375",2013,12065,35.4,6.9
"376",2013,12066,29.2,8.9
"377",2013,12067,33.6,10.1
"378",2013,12068,31.8,8.7
"379",2013,12069,42.2,5.5
"380",2013,12070,33.2,12.2
"381",2013,12071,32.1,8.4
"382",2013,12072,35.6,9.5
"383",2013,12073,28.9,11.8
"385",2013,13001,NA,NA
"386",2013,13002,NA,NA
