district;Landkreis/Stadt;Bundesland;Dichte;Anzahl
7211;Trier, Kreisfreie Stadt;Rheinland-Pfalz;44,2;47
8125;Heilbronn, Landkreis;Baden-WÙrttemberg;14,5;47
9779;Donau-Ries, Landkreis;Bayern;36,7;47
7138;Neuwied, Landkreis;Rheinland-Pfalz;25,5;46
8426;Biberach, Landkreis;Baden-WÙrttemberg;24,5;46
7133;Bad Kreuznach, Landkreis;Rheinland-Pfalz;29,0;45
3357;Rotenburg (WÙmme), Landkreis;Niedersachsen;27,1;44
5974;Soest, Kreis;Nordrhein-Westfalen;14,8;44
6431;Bergstra¤e, Landkreis;Hessen;16,8;44
9163;Rosenheim, Landkreis;Bayern;17,9;44
9471;Bamberg, Stadt;Bayern;62,2;44
3153;Goslar, Landkreis;Niedersachsen;30,8;43
5758;Herford, Kreis;Nordrhein-Westfalen;17,2;43
5978;Unna, Kreis;Nordrhein-Westfalen;10,9;43
3252;Hameln-Pyrmont, Landkreis;Niedersachsen;28,1;42
3358;Landkreis Heidekreis;Niedersachsen;30,9;42
8117;G_ppingen, Landkreis;Baden-WÙrttemberg;17,0;42
8315;Breisgau-Hochschwarzwald, Landkreis;Baden-WÙrttemberg;17,0;42
9561;Ansbach, Landkreis;Bayern;23,6;42
1056;Pinneberg, Landkreis;Schleswig-Holstein;13,8;41
3359;Stade, Landkreis;Niedersachsen;21,0;41
5362;Rhein-Erft-Kreis;Nordrhein-Westfalen;9,1;41
7137;Mayen-Koblenz, Landkreis;Rheinland-Pfalz;19,5;41
3353;Harburg, Landkreis;Niedersachsen;16,7;40
8215;Karlsruhe, Landkreis;Baden-WÙrttemberg;9,4;40
8226;Rhein-Neckar-Kreis;Baden-WÙrttemberg;7,6;40
14626;G_rlitz, Landkreis;Sachsen;14,9;40
1055;Ostholstein, Landkreis;Schleswig-Holstein;19,7;39
1062;Stormarn, Landkreis;Schleswig-Holstein;16,9;39
5122;Solingen, Kreisfreie Stadt;Nordrhein-Westfalen;25,1;39
6438;Offenbach, Landkreis;Hessen;11,7;39
6439;Rheingau-Taunus-Kreis;Hessen;21,6;39
8336;L_rrach, Landkreis;Baden-WÙrttemberg;17,8;39
9763;Kempten (Allg_u);Bayern;60,7;39
9780;Oberallg_u, Landkreis;Bayern;26,2;39
6634;Schwalm-Eder-Kreis;Hessen;21,0;38
16051;Erfurt, krsfr. Stadt;ThÙringen;18,8;38
1057;Pl_n, Landkreis;Schleswig-Holstein;29,1;37
3352;Cuxhaven, Landkreis;Niedersachsen;18,7;37
7332;Bad DÙrkheim, Landkreis;Rheinland-Pfalz;28,3;37
7339;Mainz-Bingen, Landkreis;Rheinland-Pfalz;18,4;37
3453;Cloppenburg, Landkreis;Niedersachsen;22,6;36
