"","district","DistrictName","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary"
"255",7333,"Donnersbergkreis",2013,"7333y2013",303,297,17,117,147,0,28,435,15,4072,52,144
"256",7334,"Germersheim",2013,"7334y2013",636,387,28,177,208,1,22,878,88,7543,88,193
"257",7335,"Kaiserslautern",2013,"7335y2013",423,475,23,122,143,0,16,615,45,5109,51,162
"258",7336,"Kusel",2013,"7336y2013",277,161,14,86,100,1,11,374,19,3245,27,87
"259",7337,"Südliche Weinstraße",2013,"7337y2013",431,179,18,135,154,0,11,793,68,5129,65,171
"260",7338,"Rhein-Pfalz-Kreis",2013,"7338y2013",652,326,34,156,215,1,39,868,163,7382,72,193
"261",7339,"Mainz-Bingen",2013,"7339y2013",883,656,26,211,266,4,37,1326,133,10796,143,308
"262",7340,"Südwestpfalz",2013,"7340y2013",190,155,16,66,83,1,6,383,30,2830,26,59
"263",8111,"Stuttgart",2013,"8111y2013",4758,1500,92,1567,2272,19,576,6640,1416,58325,489,1025
"264",8115,"Böblingen",2013,"8115y2013",1319,897,55,319,423,10,65,1870,179,16187,122,311
"265",8116,"Esslingen",2013,"8116y2013",1521,927,72,499,644,16,103,2971,385,22658,161,396
"266",8117,"Göppingen",2013,"8117y2013",780,342,33,214,316,6,75,1380,120,9733,57,135
"267",8118,"Ludwigsburg",2013,"8118y2013",1709,1041,87,412,577,10,123,2947,281,21824,126,412
"268",8119,"Rems-Murr-Kreis",2013,"8119y2013",1577,748,37,420,541,12,94,2570,315,18319,149,376
"269",8121,"Heilbronn",2013,"8121y2013",619,405,37,221,297,4,63,1269,300,9152,34,97
"270",8125,"Heilbronn",2013,"8125y2013",674,740,68,206,273,4,39,1675,186,12265,64,171
"271",8126,"Hohenlohekreis",2013,"8126y2013",271,234,17,100,121,1,11,524,58,4192,24,80
"272",8127,"Schwäbisch Hall",2013,"8127y2013",522,382,31,152,211,3,43,840,140,7204,33,105
"273",8128,"Main-Tauber-Kreis",2013,"8128y2013",278,180,6,56,87,2,18,664,45,4591,11,54
"274",8135,"Heidenheim",2013,"8135y2013",352,225,16,150,191,1,28,913,25,5383,32,83
"275",8136,"Ostalbkreis",2013,"8136y2013",849,425,45,297,395,5,68,1395,73,11332,24,170
"276",8211,"Baden-Baden",2013,"8211y2013",214,228,14,86,118,7,22,391,14,3972,24,68
"277",8212,"Karlsruhe",2013,"8212y2013",1413,1690,57,685,940,9,226,2546,492,31209,372,752
"278",8215,"Karlsruhe",2013,"8215y2013",921,931,76,310,440,8,91,2092,222,16851,185,436
"279",8216,"Rastatt",2013,"8216y2013",669,583,34,243,324,6,60,1396,192,10011,74,216
"280",8221,"Heidelberg",2013,"8221y2013",711,410,30,276,366,3,78,1414,288,14057,110,350
"281",8222,"Mannheim",2013,"8222y2013",1474,2116,98,809,1159,20,279,2664,229,31975,264,587
"282",8225,"Neckar-Odenwald-Kreis",2013,"8225y2013",356,238,25,103,157,2,41,621,79,4442,24,69
"283",8226,"Rhein-Neckar-Kreis",2013,"8226y2013",1405,1518,79,453,584,11,95,2909,338,23369,196,670
"284",8231,"Pforzheim",2013,"8231y2013",775,347,32,205,298,3,74,864,27,9073,133,316
"285",8235,"Calw",2013,"8235y2013",397,231,11,76,115,11,15,840,50,5032,25,81
"286",8236,"Enzkreis",2013,"8236y2013",366,257,22,86,124,2,32,997,87,5981,150,342
"287",8237,"Freudenstadt",2013,"8237y2013",329,184,13,136,161,4,14,531,41,4836,26,72
"288",8311,"Freiburg im Breisgau",2013,"8311y2013",2106,916,60,671,870,6,161,2594,729,26462,173,496
"289",8315,"Breisgau-Hochschwarzwald",2013,"8315y2013",987,584,56,245,311,5,48,1451,133,12915,142,421
"290",8316,"Emmendingen",2013,"8316y2013",566,314,21,171,230,1,38,814,64,6973,64,188
"291",8317,"Ortenaukreis",2013,"8317y2013",1400,1421,112,369,575,14,151,2533,245,25112,152,427
"292",8325,"Rottweil",2013,"8325y2013",298,214,23,106,130,3,21,628,44,4292,19,56
"293",8326,"Schwarzwald-Baar-Kreis",2013,"8326y2013",456,331,24,198,269,2,53,1084,66,7299,34,117
"294",8327,"Tuttlingen",2013,"8327y2013",454,172,30,135,176,3,31,671,30,5255,24,109
"295",8335,"Konstanz",2013,"8335y2013",1111,657,45,359,489,13,83,1923,135,16936,84,306
"296",8336,"Lörrach",2013,"8336y2013",1069,619,42,275,378,3,76,2171,85,16834,91,269
"297",8337,"Waldshut",2013,"8337y2013",525,256,26,136,191,3,37,958,59,7158,39,114
"298",8415,"Reutlingen",2013,"8415y2013",1009,577,24,360,447,13,52,1872,125,14814,71,225
"299",8416,"Tübingen",2013,"8416y2013",721,497,20,198,249,5,33,1519,295,10496,65,182
"300",8417,"Zollernalbkreis",2013,"8417y2013",527,277,23,213,253,2,26,1021,115,7611,30,86
"301",8421,"Ulm",2013,"8421y2013",663,290,10,256,368,8,88,1005,252,9726,56,150
"302",8425,"Alb-Donau-Kreis",2013,"8425y2013",337,248,15,110,154,4,25,678,52,5828,65,191
"303",8426,"Biberach",2013,"8426y2013",679,296,23,136,175,3,26,810,55,7349,36,136
"304",8435,"Bodenseekreis",2013,"8435y2013",646,360,21,204,251,2,30,999,73,8622,42,222
"305",8436,"Ravensburg",2013,"8436y2013",1201,537,46,385,477,7,68,1534,101,13607,55,154
"306",8437,"Sigmaringen",2013,"8437y2013",408,239,15,144,176,4,16,612,34,5296,23,72
"307",9161,"Ingolstadt",2013,"9161y2013",1071,251,45,315,378,9,44,1038,108,9946,64,132
"308",9162,"München",2013,"9162y2013",8816,1968,217,3339,4070,37,541,10644,1790,102667,560,1185
"309",9163,"Rosenheim",2013,"9163y2013",721,103,14,208,252,6,24,501,41,5744,21,48
"310",9171,"Altötting",2013,"9171y2013",404,146,8,107,133,4,20,746,69,4838,8,33
"311",9172,"Berchtesgadener Land",2013,"9172y2013",339,86,13,66,101,5,20,554,25,6775,9,34
"312",9173,"Bad Tölz-Wolfratshausen",2013,"9173y2013",390,108,25,90,113,3,18,600,38,4131,11,38
"313",9174,"Dachau",2013,"9174y2013",435,145,31,104,140,1,21,702,96,5039,36,87
"314",9175,"Ebersberg",2013,"9175y2013",321,94,14,109,138,2,18,628,127,4213,36,81
"315",9176,"Eichstätt",2013,"9176y2013",265,120,52,93,110,0,7,390,17,3055,28,90
"316",9177,"Erding",2013,"9177y2013",409,131,24,115,142,1,15,579,61,5483,11,39
"317",9178,"Freising",2013,"9178y2013",459,218,28,142,175,0,18,779,113,10558,43,90
"318",9179,"Fürstenfeldbruck",2013,"9179y2013",608,207,17,136,176,3,29,1112,145,7481,35,112
"319",9180,"Garmisch-Partenkirchen",2013,"9180y2013",250,71,10,64,76,4,5,464,49,3909,15,42
"320",9181,"Landsberg am Lech",2013,"9181y2013",335,135,12,78,103,3,11,524,59,3849,13,61
"321",9182,"Miesbach",2013,"9182y2013",256,73,15,86,105,4,6,427,98,3929,11,32
"322",9183,"Mühldorf a.Inn",2013,"9183y2013",384,238,15,86,121,4,17,463,22,4295,9,36
"323",9184,"München",2013,"9184y2013",740,356,58,283,348,2,46,1786,285,11947,104,261
"324",9185,"Neuburg-Schrobenhausen",2013,"9185y2013",402,68,26,115,140,0,12,413,22,3797,12,40
"325",9186,"Pfaffenhofen a.d.Ilm",2013,"9186y2013",526,212,33,144,167,6,13,539,44,5022,28,84
"326",9187,"Rosenheim",2013,"9187y2013",830,277,38,191,224,9,17,1002,90,12042,28,92
"327",9188,"Starnberg",2013,"9188y2013",285,174,16,91,124,3,19,629,93,4272,51,123
"328",9189,"Traunstein",2013,"9189y2013",593,181,25,163,195,6,19,871,133,7277,17,45
"329",9190,"Weilheim-Schongau",2013,"9190y2013",424,67,19,87,104,1,14,710,103,4593,19,50
"330",9261,"Landshut",2013,"9261y2013",774,177,15,192,236,1,38,798,37,6815,20,62
"331",9262,"Passau",2013,"9262y2013",421,114,11,113,148,6,27,398,36,5095,20,34
"332",9263,"Straubing",2013,"9263y2013",423,201,12,113,154,1,23,404,28,4114,12,34
"333",9271,"Deggendorf",2013,"9271y2013",575,209,20,154,185,4,17,728,99,5683,25,80
"334",9272,"Freyung-Grafenau",2013,"9272y2013",234,48,20,52,63,0,4,220,1,2131,1,6
"335",9273,"Kelheim",2013,"9273y2013",403,140,19,128,144,0,10,487,52,3743,18,47
"336",9274,"Landshut",2013,"9274y2013",495,147,19,115,140,2,18,539,60,4336,23,61
"337",9275,"Passau",2013,"9275y2013",555,243,22,124,150,4,17,640,32,6221,30,92
"338",9276,"Regen",2013,"9276y2013",252,65,7,58,71,3,3,294,26,2368,5,8
"339",9277,"Rottal-Inn",2013,"9277y2013",443,130,18,137,161,10,8,542,16,3691,15,43
"340",9278,"Straubing-Bogen",2013,"9278y2013",265,90,16,53,65,1,4,283,17,2700,9,22
"341",9279,"Dingolfing-Landau",2013,"9279y2013",364,91,13,91,104,1,8,372,24,3199,9,28
"342",9361,"Amberg",2013,"9361y2013",279,112,13,58,78,0,17,395,35,3009,20,38
"343",9362,"Regensburg",2013,"9362y2013",1178,555,61,323,441,5,94,1321,149,14174,55,130
"344",9363,"Weiden i.d.OPf.",2013,"9363y2013",406,110,16,106,134,6,20,479,56,3572,18,36
"345",9371,"Amberg-Sulzbach",2013,"9371y2013",238,111,14,77,95,0,12,412,31,2963,12,25
"346",9372,"Cham",2013,"9372y2013",404,201,31,96,108,0,6,614,52,5482,12,30
"347",9373,"Neumarkt i.d.OPf.",2013,"9373y2013",391,224,22,98,110,2,4,504,45,4078,17,48
"348",9374,"Neustadt a.d.Waldnaab",2013,"9374y2013",329,89,26,96,114,2,7,316,25,3452,3,11
"349",9375,"Regensburg",2013,"9375y2013",438,242,30,92,118,4,13,642,69,4742,29,58
"350",9376,"Schwandorf",2013,"9376y2013",510,220,35,145,172,1,18,548,11,5194,8,35
"351",9377,"Tirschenreuth",2013,"9377y2013",182,62,24,37,54,2,9,264,23,2705,2,18
"352",9461,"Bamberg",2013,"9461y2013",536,110,17,146,182,5,24,874,107,5540,13,22
"353",9462,"Bayreuth",2013,"9462y2013",459,138,18,168,216,9,25,679,120,5018,12,32
"354",9463,"Coburg",2013,"9463y2013",387,90,8,94,132,12,21,525,76,3381,8,26
"355",9464,"Hof",2013,"9464y2013",491,84,8,125,173,2,38,508,46,4327,15,35
"356",9471,"Bamberg",2013,"9471y2013",449,149,19,154,173,3,8,515,38,4170,13,41
"357",9472,"Bayreuth",2013,"9472y2013",287,122,15,68,84,1,8,368,31,3206,9,25
"358",9473,"Coburg",2013,"9473y2013",294,59,17,82,108,8,11,480,96,2927,4,19
"359",9474,"Forchheim",2013,"9474y2013",326,67,6,79,99,9,8,444,45,3240,8,24
"360",9475,"Hof",2013,"9475y2013",394,79,16,83,103,4,14,589,74,4540,11,39
"361",9476,"Kronach",2013,"9476y2013",260,47,8,81,108,8,12,378,60,2818,1,10
"362",9477,"Kulmbach",2013,"9477y2013",360,65,8,84,109,7,9,423,38,3090,7,13
"363",9478,"Lichtenfels",2013,"9478y2013",355,38,7,93,130,12,22,443,42,3008,1,8
"364",9479,"Wunsiedel i.Fichtelgebirge",2013,"9479y2013",372,94,11,77,93,1,11,479,22,4231,5,16
"365",9561,"Ansbach",2013,"9561y2013",266,81,7,72,97,4,17,315,43,2772,2,8
"366",9562,"Erlangen",2013,"9562y2013",626,130,24,186,228,5,30,880,112,6969,20,45
"367",9563,"Fürth",2013,"9563y2013",527,230,14,177,251,8,45,822,175,6691,39,93
"368",9564,"Nürnberg",2013,"9564y2013",4218,1370,107,1454,1914,25,359,4957,866,44755,236,538
"369",9565,"Schwabach",2013,"9565y2013",140,36,8,33,40,2,3,282,17,1850,4,13
"370",9571,"Ansbach",2013,"9571y2013",537,396,18,146,186,8,21,730,38,6310,15,43
"371",9572,"Erlangen-Höchstadt",2013,"9572y2013",290,114,14,82,104,5,10,611,124,3885,27,67
"372",9573,"Fürth",2013,"9573y2013",215,114,12,71,87,0,13,380,69,3010,27,71
"373",9574,"Nürnberger Land",2013,"9574y2013",534,210,32,160,197,2,26,931,83,6748,23,71
"374",9575,"Neustadt a.d.Aisch-Bad Windsheim",2013,"9575y2013",268,85,13,99,118,3,10,491,80,3070,5,24
"375",9576,"Roth",2013,"9576y2013",304,137,21,91,116,1,17,528,72,3874,16,39
"376",9577,"Weißenburg-Gunzenhausen",2013,"9577y2013",351,62,12,84,106,1,12,525,39,3656,6,20
"377",9661,"Aschaffenburg",2013,"9661y2013",592,175,18,153,199,2,36,582,96,6053,12,34
"378",9662,"Schweinfurt",2013,"9662y2013",457,140,22,135,160,4,12,512,30,4558,9,26
"379",9663,"Würzburg",2013,"9663y2013",931,247,20,293,354,2,47,1271,171,10852,36,83
"380",9671,"Aschaffenburg",2013,"9671y2013",408,182,42,84,111,6,15,590,44,4847,53,103
"381",9672,"Bad Kissingen",2013,"9672y2013",377,150,13,76,98,0,12,590,43,4209,13,35
"382",9673,"Rhön-Grabfeld",2013,"9673y2013",297,103,11,78,85,1,5,355,27,2813,10,18
"383",9674,"Haßberge",2013,"9674y2013",395,83,9,88,102,1,7,381,16,2806,8,12
"384",9675,"Kitzingen",2013,"9675y2013",270,135,9,74,93,3,15,431,26,3441,19,50
"385",9676,"Miltenberg",2013,"9676y2013",454,157,11,117,136,6,7,603,63,4221,15,40
"386",9677,"Main-Spessart",2013,"9677y2013",303,85,7,90,106,1,6,621,36,3809,8,38
"387",9678,"Schweinfurt",2013,"9678y2013",324,118,17,60,75,1,7,391,32,3141,10,26
"388",9679,"Würzburg",2013,"9679y2013",287,190,16,66,77,0,7,475,42,3725,33,64
"389",9761,"Augsburg",2013,"9761y2013",2500,509,74,560,719,7,125,1836,242,22297,58,147
"390",9762,"Kaufbeuren",2013,"9762y2013",319,105,8,81,101,3,8,375,68,2646,2,8
"391",9763,"Kempten (Allgäu)",2013,"9763y2013",592,100,6,149,181,7,19,487,68,4368,5,21
"392",9764,"Memmingen",2013,"9764y2013",308,161,5,97,127,3,22,334,45,3393,6,11
"393",9771,"Aichach-Friedberg",2013,"9771y2013",292,143,9,93,112,3,10,416,46,3771,26,55
"394",9772,"Augsburg",2013,"9772y2013",824,226,34,185,218,2,19,854,92,8301,51,115
"395",9773,"Dillingen a.d.Donau",2013,"9773y2013",332,86,22,75,90,1,8,403,21,3099,10,31
"396",9774,"Günzburg",2013,"9774y2013",422,193,15,129,153,0,17,519,35,4971,21,79
"397",9775,"Neu-Ulm",2013,"9775y2013",807,251,36,217,273,3,44,855,119,7966,33,75
"398",9776,"Lindau (Bodensee)",2013,"9776y2013",209,80,5,70,99,3,20,429,53,3448,13,33
"399",9777,"Ostallgäu",2013,"9777y2013",435,113,14,109,128,1,9,480,82,4271,14,37
"400",9778,"Unterallgäu",2013,"9778y2013",412,151,14,123,140,4,9,454,28,4288,24,61
"401",9779,"Donau-Ries",2013,"9779y2013",465,122,27,96,114,2,11,590,21,4130,16,32
"402",9780,"Oberallgäu",2013,"9780y2013",478,90,25,99,119,4,8,561,77,4772,10,26
