"","district","DistrictName","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary"
"59",14713,"Leipzig",2013,"14713y2013",2616,5757,563,1053,1615,16,523,7474,2430,70451,697,1304
"60",14729,"Leipzig",2013,"14729y2013",875,1144,146,210,291,7,64,1695,284,16422,104,323
"61",14730,"Nordsachsen",2013,"14730y2013",710,605,120,186,266,2,74,1502,237,12549,60,127
"62",15001,"Dessau-Roßlau",2013,"15001y2013",453,507,104,190,281,5,78,931,188,9661,40,89
"63",15002,"Halle (Saale)",2013,"15002y2013",1807,1273,157,620,909,12,249,3099,995,26227,113,324
"64",15003,"Magdeburg",2013,"15003y2013",1336,1662,249,485,800,11,274,3104,718,30490,139,370
"65",15081,"Altmarkkreis Salzwedel",2013,"15081y2013",339,291,37,138,175,0,29,759,129,5053,22,68
"66",15082,"Anhalt-Bitterfeld",2013,"15082y2013",695,684,121,237,323,9,62,1376,214,12486,52,160
"67",15083,"Börde",2013,"15083y2013",665,691,115,209,272,8,41,1149,154,11693,68,179
"68",15084,"Burgenlandkreis",2013,"15084y2013",842,1216,100,236,342,8,87,1656,320,14658,71,307
"69",15085,"Harz",2013,"15085y2013",814,1061,115,312,431,5,91,2174,515,18706,50,191
"70",15086,"Jerichower Land",2013,"15086y2013",374,395,78,125,161,1,29,807,161,6795,39,96
"71",15087,"Mansfeld-Südharz",2013,"15087y2013",871,549,77,185,237,1,40,1360,221,10754,27,108
"72",15088,"Saalekreis",2013,"15088y2013",952,1074,131,219,322,4,87,1501,180,13902,82,196
"73",15089,"Salzlandkreis",2013,"15089y2013",929,839,103,275,380,13,78,1480,148,14069,73,260
"74",15090,"Stendal",2013,"15090y2013",558,497,69,177,236,2,44,1001,202,8625,37,127
"75",15091,"Wittenberg",2013,"15091y2013",539,481,102,181,249,0,54,1076,186,9927,43,113
"76",16051,"Erfurt",2013,"16051y2013",1732,579,131,548,716,6,142,2306,667,21569,116,236
"77",16052,"Gera",2013,"16052y2013",778,181,52,229,282,1,49,1040,139,9729,13,37
"78",16053,"Jena",2013,"16053y2013",484,202,71,167,210,3,29,916,177,7609,65,82
"79",16054,"Suhl",2013,"16054y2013",218,81,5,89,108,0,13,347,33,2670,3,12
"80",16055,"Weimar",2013,"16055y2013",411,171,37,129,174,1,35,871,285,5992,23,42
"81",16056,"Eisenach",2013,"16056y2013",281,81,19,93,124,3,25,416,34,3700,17,20
"82",16061,"Eichsfeld",2013,"16061y2013",261,166,13,73,90,4,9,497,59,3658,12,43
"83",16062,"Nordhausen",2013,"16062y2013",323,199,30,111,144,3,23,615,104,5669,11,47
"84",16063,"Wartburgkreis",2013,"16063y2013",335,183,28,104,123,0,11,610,114,4426,8,41
"85",16064,"Unstrut-Hainich-Kreis",2013,"16064y2013",427,237,22,142,207,2,51,707,58,5978,15,47
"86",16065,"Kyffhäuserkreis",2013,"16065y2013",324,214,20,97,127,4,17,510,78,4209,17,69
"87",16066,"Schmalkalden-Meiningen",2013,"16066y2013",509,215,35,117,162,1,34,911,151,6330,5,13
"88",16067,"Gotha",2013,"16067y2013",558,290,35,160,213,2,43,948,174,7404,43,65
"89",16068,"Sömmerda",2013,"16068y2013",301,142,12,83,103,0,13,483,58,3842,7,18
"90",16069,"Hildburghausen",2013,"16069y2013",249,92,10,44,61,2,11,447,46,2933,1,6
"91",16070,"Ilm-Kreis",2013,"16070y2013",539,319,44,186,249,0,56,751,66,6716,31,55
"92",16071,"Weimarer Land",2013,"16071y2013",345,230,30,103,140,1,31,470,35,4721,40,73
"93",16072,"Sonneberg",2013,"16072y2013",267,99,10,86,106,0,17,467,71,3283,8,24
"94",16073,"Saalfeld-Rudolstadt",2013,"16073y2013",725,161,18,184,213,2,18,1126,243,7282,21,46
"95",16074,"Saale-Holzland-Kreis",2013,"16074y2013",351,248,36,78,98,2,13,548,78,4636,29,44
"96",16075,"Saale-Orla-Kreis",2013,"16075y2013",507,164,23,96,114,0,13,691,92,5916,18,85
"97",16076,"Greiz",2013,"16076y2013",377,177,29,104,128,2,17,717,36,4962,5,16
"98",16077,"Altenburger Land",2013,"16077y2013",458,229,30,119,164,2,38,824,140,8180,17,62
"99",2,"Hamburg",2013,"2y2013",14703,15837,1983,5406,8665,56,3046,20913,3393,238019,2998,6924
"100",3101,"Braunschweig",2013,"3101y2013",1772,816,212,750,997,10,202,2664,892,23692,197,441
"101",3102,"Salzgitter",2013,"3102y2013",466,297,34,171,227,3,41,815,72,6122,56,123
"102",3103,"Wolfsburg",2013,"3103y2013",577,700,179,162,255,7,73,1090,77,8537,103,233
"103",3151,"Gifhorn",2013,"3151y2013",686,374,51,219,285,4,42,987,116,8111,67,211
"104",3152,"Göttingen",2013,"3152y2013",1349,710,109,454,592,8,109,1954,346,20955,133,319
"105",3153,"Goslar",2013,"3153y2013",739,337,41,242,340,5,70,1112,155,8851,65,170
"106",3154,"Helmstedt",2013,"3154y2013",385,319,57,152,187,2,22,650,123,5393,48,125
"107",3155,"Northeim",2013,"3155y2013",540,304,34,184,238,3,39,708,79,7208,53,135
"108",3156,"Osterode am Harz",2013,"3156y2013",291,121,11,84,113,1,19,427,28,4344,23,72
"109",3157,"Peine",2013,"3157y2013",397,365,40,152,187,5,18,654,87,6340,136,269
"110",3158,"Wolfenbüttel",2013,"3158y2013",366,211,66,116,158,6,24,783,96,5223,54,130
"111",3241,"Region Hannover",2013,"3241y2013",7429,4867,642,2719,3701,31,801,10384,1812,113031,1697,3606
"112",3251,"Diepholz",2013,"3251y2013",775,535,52,231,354,8,90,1014,113,11541,156,382
"113",3252,"Hameln-Pyrmont",2013,"3252y2013",714,415,30,293,371,8,53,852,61,9583,90,203
"114",3254,"Hildesheim",2013,"3254y2013",1393,608,63,434,579,7,104,2366,672,17775,215,524
"115",3255,"Holzminden",2013,"3255y2013",291,80,14,111,136,3,17,424,38,3696,20,92
"116",3256,"Nienburg (Weser)",2013,"3256y2013",388,259,39,143,230,9,65,485,27,6819,113,243
"117",3257,"Schaumburg",2013,"3257y2013",534,523,50,189,272,3,65,1145,94,9290,101,232
"118",3351,"Celle",2013,"3351y2013",919,482,52,312,423,13,69,1208,144,11254,107,311
"119",3352,"Cuxhaven",2013,"3352y2013",744,441,60,330,449,5,92,1006,60,10952,140,462
"120",3353,"Harburg",2013,"3353y2013",879,1045,173,238,355,9,84,1612,314,13756,419,1029
"121",3354,"Lüchow-Dannenberg",2013,"3354y2013",170,107,13,63,85,3,12,357,106,2325,12,31
"122",3355,"Lüneburg",2013,"3355y2013",1018,638,112,331,440,3,92,1548,299,12538,132,315
"123",3356,"Osterholz",2013,"3356y2013",392,303,18,153,218,5,50,584,48,5642,120,378
"124",3357,"Rotenburg (Wümme)",2013,"3357y2013",848,532,60,347,472,12,82,983,84,10544,166,439
"125",3358,"Landkreis Heidekreis",2013,"3358y2013",828,483,61,268,353,8,51,1181,171,10721,134,389
"126",3359,"Stade",2013,"3359y2013",710,443,61,231,367,6,112,1189,157,10876,109,261
"127",3360,"Uelzen",2013,"3360y2013",312,241,34,96,145,2,35,649,88,5367,33,69
"128",3361,"Verden",2013,"3361y2013",544,444,69,171,260,9,53,782,79,9073,198,546
"129",3401,"Delmenhorst",2013,"3401y2013",428,325,11,156,248,0,82,628,105,7855,83,219
"130",3402,"Emden",2013,"3402y2013",380,215,7,153,195,0,32,597,48,4629,16,60
"131",3403,"Oldenburg (Oldenburg)",2013,"3403y2013",807,514,47,279,439,5,134,1534,422,14458,83,292
"132",3404,"Osnabrück",2013,"3404y2013",1032,759,49,556,816,5,219,1624,420,17752,143,397
"133",3405,"Wilhelmshaven",2013,"3405y2013",617,298,30,275,369,3,72,986,48,8982,66,193
"134",3451,"Ammerland",2013,"3451y2013",323,245,21,100,140,4,25,583,129,5083,47,152
"135",3452,"Aurich",2013,"3452y2013",979,423,27,390,467,3,56,1340,120,11404,59,293
"136",3453,"Cloppenburg",2013,"3453y2013",684,450,35,193,249,0,38,805,75,8880,63,211
"137",3454,"Emsland",2013,"3454y2013",1434,777,84,509,647,7,100,1476,83,18354,130,420
"138",3455,"Friesland",2013,"3455y2013",523,214,13,144,189,5,30,806,38,6177,49,147
"139",3456,"Grafschaft Bentheim",2013,"3456y2013",469,301,26,171,225,2,45,649,60,8842,56,190
"140",3457,"Leer",2013,"3457y2013",635,434,39,193,263,3,52,933,50,9933,72,242
"141",3458,"Oldenburg",2013,"3458y2013",432,332,36,141,177,3,26,722,89,7833,65,226
"142",3459,"Osnabrück",2013,"3459y2013",902,1218,85,291,455,7,118,1736,264,16703,195,513
"143",3460,"Vechta",2013,"3460y2013",494,552,27,224,312,5,69,789,53,8696,99,236
"144",3461,"Wesermarsch",2013,"3461y2013",342,143,11,132,177,3,31,613,51,4910,64,176
"145",3462,"Wittmund",2013,"3462y2013",246,80,13,79,97,1,8,326,16,2916,4,36
"146",4011,"Bremen",2013,"4011y2013",3979,6016,256,1529,2639,14,1018,5019,788,71212,965,2577
"147",4012,"Bremerhaven",2013,"4012y2013",981,597,52,334,588,7,223,1619,295,14154,358,862
"148",5111,"Düsseldorf",2013,"5111y2013",3894,7527,404,1463,2609,12,1023,4561,435,87610,1463,2680
"149",5112,"Duisburg",2013,"5112y2013",2835,3542,191,1160,1879,22,638,4516,417,52048,830,1670
"150",5113,"Essen",2013,"5113y2013",2595,4266,290,1136,1924,11,699,4634,861,57317,1228,2381
"151",5114,"Krefeld",2013,"5114y2013",1562,1533,131,460,733,2,239,2152,287,22219,416,846
"152",5116,"Mönchengladbach",2013,"5116y2013",1269,1610,108,575,853,8,234,2317,546,22516,365,786
"153",5117,"Mülheim an der Ruhr",2013,"5117y2013",599,1028,68,242,389,4,126,1435,330,13249,291,619
"154",5119,"Oberhausen",2013,"5119y2013",1181,1461,68,370,581,4,187,1671,83,18633,506,982
"155",5120,"Remscheid",2013,"5120y2013",661,364,27,173,249,1,66,934,61,7842,115,242
"156",5122,"Solingen",2013,"5122y2013",725,743,47,248,368,3,108,1542,288,12506,185,429
"157",5124,"Wuppertal",2013,"5124y2013",2470,2105,115,650,1152,6,451,3450,487,34190,414,842
"158",5154,"Kleve",2013,"5154y2013",1097,1285,131,345,515,6,148,2187,128,22316,259,573
"159",5158,"Mettmann",2013,"5158y2013",2037,2409,227,687,945,10,219,3578,343,33899,675,1586
"160",5162,"Rhein-Kreis Neuss",2013,"5162y2013",1657,2318,232,478,748,2,224,3065,327,31665,697,1544
"161",5166,"Viersen",2013,"5166y2013",943,1006,112,287,425,6,114,1842,225,16459,381,782
"162",5170,"Wesel",2013,"5170y2013",2085,2298,155,672,980,2,286,3725,390,32747,656,1424
"163",5314,"Bonn",2013,"5314y2013",1749,2455,119,679,1185,0,457,3064,374,34649,774,1747
"164",5315,"Köln",2013,"5315y2013",8615,11965,647,3488,5574,35,1851,11313,1934,153744,2412,5055
"165",5316,"Leverkusen",2013,"5316y2013",967,930,81,371,552,4,161,1399,34,14061,252,548
"166",5334,"Aachen",2013,"5334y2013",2987,3687,563,1321,2058,20,649,4717,672,51953,999,2195
"167",5358,"Düren",2013,"5358y2013",1297,1428,116,443,665,7,189,1964,111,19033,387,874
"168",5362,"Rhein-Erft-Kreis",2013,"5362y2013",2166,2597,230,643,1052,13,340,4232,274,37358,914,1840
