"","district","PopulationTotal"
"394",13052,NA
"395",13053,NA
"396",13054,NA
"397",13055,NA
"398",13056,NA
"399",13057,NA
"400",13058,NA
"401",13059,NA
"402",13060,NA
"403",13061,NA
"404",13062,NA
"405",13071,262412
"406",13072,210555
"407",13073,223109
"408",13074,155265
"409",13075,238185
"410",13076,211965
"413",14161,NA
"414",14166,NA
"415",14167,NA
"416",14171,NA
"417",14173,NA
"418",14177,NA
"419",14178,NA
"420",14181,NA
"421",14182,NA
"422",14188,NA
"423",14191,NA
"424",14193,NA
"426",14262,NA
"427",14263,NA
"428",14264,NA
"429",14272,NA
"430",14280,NA
"431",14284,NA
"432",14285,NA
"433",14286,NA
"434",14287,NA
"435",14290,NA
"436",14292,NA
"438",14365,NA
"439",14374,NA
"440",14375,NA
"441",14379,NA
"442",14383,NA
"443",14389,NA
"445",14511,242022
"446",14521,351309
"447",14522,314591
"448",14523,233970
"449",14524,327062
"451",14612,530754
"452",14625,308350
"453",14626,262168
"454",14627,243716
"455",14628,245939
"457",14713,531562
"458",14729,257596
"459",14730,197346
"461",15001,83616
"462",15002,231565
"463",15003,231021
"464",15081,86312
"465",15082,166828
"466",15083,172955
"467",15084,184956
"468",15085,221043
"469",15086,91721
"470",15087,143246
"471",15088,187690
"472",15089,198715
"473",15090,115471
"474",15091,129438
"476",15101,NA
"477",15151,NA
"478",15153,NA
"479",15154,NA
"480",15159,NA
"481",15171,NA
"483",15202,NA
"484",15256,NA
"485",15260,NA
"486",15261,NA
"487",15265,NA
"488",15266,NA
"489",15268,NA
"491",15303,NA
"492",15352,NA
"493",15355,NA
"494",15357,NA
"495",15358,NA
"496",15362,NA
"497",15363,NA
"498",15364,NA
"499",15367,NA
"500",15369,NA
"501",15370,NA
"503",16051,204880
"504",16052,94977
"505",16053,107679
"506",16054,35665
"507",16055,63315
"508",16056,41567
"509",16061,100951
"510",16062,85380
"511",16063,126283
"512",16064,104245
"513",16065,77656
"514",16066,125574
"515",16067,135155
"516",16068,70833
"517",16069,65032
"518",16070,108958
"519",16071,81704
"520",16072,57252
"521",16073,110307
"522",16074,84001
"523",16075,83654
"524",16076,102167
"525",16077,93605
"18",2,1746342
"366",11,3421829
