"","year","district","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal"
"152",2013,6531,3642,133,396,1520,28,1565
"153",2013,6532,3040,122,602,1421,38,857
"154",2013,6533,2608,93,497,999,10,1009
"155",2013,6534,2925,120,400,1245,3,1157
"156",2013,6535,1170,46,209,572,0,343
"158",2013,6611,2551,168,316,913,30,1124
"159",2013,6631,3176,105,590,1434,0,1047
"160",2013,6632,1410,50,285,713,33,329
"161",2013,6633,2669,89,428,1285,0,867
"162",2013,6634,2469,129,325,1030,0,985
"163",2013,6635,1993,97,328,947,0,621
"164",2013,6636,1124,54,232,521,0,317
"167",2013,7111,1515,87,254,442,53,679
"168",2013,7131,1413,52,239,535,25,562
"169",2013,7132,1677,65,355,752,29,476
"170",2013,7133,1745,82,363,658,15,627
"171",2013,7134,792,29,186,351,14,212
"172",2013,7135,529,43,120,273,2,91
"173",2013,7137,2112,127,478,1002,18,487
"174",2013,7138,2170,188,382,1113,25,462
"175",2013,7140,1194,53,292,531,11,307
"176",2013,7141,1357,105,241,568,14,429
"177",2013,7143,2148,131,497,1050,18,452
"179",2013,7211,1457,67,277,474,31,608
"180",2013,7231,1272,72,196,669,14,321
"181",2013,7232,1217,47,216,511,19,424
"182",2013,7233,784,39,134,364,3,244
"183",2013,7235,1251,92,228,598,9,324
"185",2013,7311,679,60,116,232,16,255
"186",2013,7312,1336,67,192,400,62,615
"187",2013,7313,880,49,118,315,12,386
"188",2013,7314,1774,160,418,513,47,636
"189",2013,7315,2345,42,334,717,91,1161
"190",2013,7316,500,35,77,117,6,265
"191",2013,7317,492,33,105,148,7,199
"192",2013,7318,878,22,109,278,19,450
"193",2013,7319,878,36,163,348,13,318
"194",2013,7320,508,26,73,176,14,219
"195",2013,7331,1554,68,279,671,55,481
"196",2013,7332,1049,78,183,459,8,321
"197",2013,7333,1035,61,188,493,20,273
"198",2013,7334,1132,45,200,574,4,309
"199",2013,7335,1052,66,237,448,20,281
"200",2013,7336,737,27,161,397,9,143
