"","district","DistrictName.y","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","HusbandAndWifeTotal","PropwHochschulreife","PropwoHauptschulabschluss","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage","TotalArea","TotalPopulation","MalePopulation","FemalePopulation","DensityPerSQRTkm","Pop0to17","Pop18to24","Pop25to44","Pop45to64","PopOver65","InfluxTotal","OutflowTotal","BelieversProtestant","BelieversTotal","BelieversRomanCatholic","BelieversOthersNoNoResponse","EntitledVoteTotal","TurnoutPercentage","VoteConservativesTotal","VoteSocialDemocratsTotal","VoteGreensTotal","VoteLiberalsTotal","VoteLeftTotal","VoteOthersTotal","FoundationsDensity100k","FoundationsTotal"
"18",3102,"Salzgitter",2013,"3102y2013",466,297,34,171,227,3,41,815,72,6122,56,123,334,20.5,3.3,4680,451,10.4,223.92,98197,47873,50324,439,16.3,7.8,22.1,29.9,23.9,4340,3720,40036,98895,17458,41401,75402,68.8,17002,21406,2987,1519,3549,4671,6.1,6
"19",3103,"Wolfsburg",2013,"3103y2013",577,700,179,162,255,7,73,1090,77,8537,103,233,663,38.1,4,3153,306,5.4,204.06,122457,60349,62108,600,15.2,7.8,26.5,28,22.5,6703,5685,48248,119984,20677,51059,92819,69.7,26799,21748,4416,2348,3263,5401,14.1,17
"20",3151,"Gifhorn",2013,"3151y2013",686,374,51,219,285,4,42,987,116,8111,67,211,698,25.8,4.7,4698,521,5.7,1562.83,171475,85335,86140,110,18.3,7.6,23.2,32.3,18.7,10449,9748,93112,171333,14895,63324,134366,73.9,43254,31642,7236,3657,4460,8157,9.4,16
"21",3152,"Göttingen",2013,"3152y2013",1349,710,109,454,592,8,109,1954,346,20955,133,319,1000,41.6,4.3,8725,679,7.5,1117.24,248249,121071,127178,222,15.3,9.9,25.7,29,20.1,24465,23508,112065,248037,54429,81543,195780,75.2,51705,47816,18998,5905,9372,12147,29.4,73
"22",3153,"Goslar",2013,"3153y2013",739,337,41,242,340,5,70,1112,155,8851,65,170,731,27.3,5.8,5995,495,9.9,965.29,137833,67603,70230,143,13.7,7.7,21.2,30.6,26.8,8180,7738,75630,140137,15934,48573,112517,70.8,30108,29263,5070,3307,4380,6482,30.8,43
"23",3154,"Helmstedt",2013,"3154y2013",385,319,57,152,187,2,22,650,123,5393,48,125,356,31.4,6,3532,344,8.3,674,90423,44586,45837,134,15.2,7.2,22,32.5,23.1,5495,4893,48588,91410,9996,32826,74709,71.9,20975,19133,3553,1910,2553,4914,12.1,11
"24",3155,"Northeim",2013,"3155y2013",540,304,34,184,238,3,39,708,79,7208,53,135,624,33.5,4.3,5078,503,8.1,1267.06,134661,65926,68735,106,15.5,6.9,20.9,32.4,24.2,6500,6368,87137,137445,15268,35041,110737,72.6,29624,30983,5647,3032,3586,6182,24.2,33
"25",3156,"Osterode am Harz",2013,"3156y2013",291,121,11,84,113,1,19,427,28,4344,23,72,311,24.3,3.8,2954,275,8.7,636.02,74367,36275,38092,117,14.4,6.3,19.6,32.3,27.4,3458,3568,46229,76785,7447,23110,62441,71.4,16800,16984,2702,1706,2348,3564,18.4,14
"26",3157,"Peine",2013,"3157y2013",397,365,40,152,187,5,18,654,87,6340,136,269,512,31.5,4.2,4153,431,6.7,534.93,130147,64003,66144,243,17.7,7.1,22.7,31.4,21,6737,6014,68664,130398,14787,46947,102787,75.4,27611,31189,5654,2529,3739,6102,10.8,14
"27",3158,"Wolfenbüttel",2013,"3158y2013",366,211,66,116,158,6,24,783,96,5223,54,130,590,30.6,4,3791,349,6.9,722.55,119900,58993,60907,166,16.2,7.3,21.5,32,22.9,7082,6605,63587,120774,13354,43832,97192,76.6,26780,26966,6577,2778,3664,6239,29.1,35
"28",3241,"Region Hannover",2013,"3241y2013",7429,4867,642,2719,3701,31,801,10384,1812,113031,1697,3606,4833,38.9,4.9,48239,4589,9.1,2290.77,1119526,543339,576187,489,16.1,7.8,26.1,29,21,71121,62582,455191,1102240,141275,505776,847629,74.4,226524,216824,67797,27979,35722,48875,35,387
"29",3251,"Diepholz",2013,"3251y2013",775,535,52,231,354,8,90,1014,113,11541,156,382,924,28,3.5,5240,623,5.1,1987.94,209955,104085,105870,106,17,7.2,22.2,32,21.5,14981,14173,119693,211185,22263,69228,168362,73.8,53298,38823,10282,6194,5590,9062,14.3,30
"30",3252,"Hameln-Pyrmont",2013,"3252y2013",714,415,30,293,371,8,53,852,61,9583,90,203,687,28.7,7.1,6206,709,9.1,796.14,147755,70939,76816,186,15.6,7.2,21,31.3,24.8,8160,7867,83665,150259,17026,49568,119218,71.4,31971,29587,7236,3334,4708,7001,28.1,42
"31",3254,"Hildesheim",2013,"3254y2013",1393,608,63,434,579,7,104,2366,672,17775,215,524,1138,34.4,5.7,10920,1118,8.5,1205.95,274519,132832,141687,228,16,8.2,22.5,30.8,22.5,15670,15173,131877,277595,65697,80020,219571,75.1,63041,59319,14587,5589,8120,12341,21.3,59
"32",3255,"Holzminden",2013,"3255y2013",291,80,14,111,136,3,17,424,38,3696,20,92,297,18.9,7.2,2970,307,9.3,692.58,71877,35354,36523,104,15.6,7.6,20.6,31.2,25,4122,4063,45097,73548,8682,19768,58096,72.7,15315,15682,3441,2312,1962,3046,36.9,27
"33",3256,"Nienburg (Weser)",2013,"3256y2013",388,259,39,143,230,9,65,485,27,6819,113,243,540,25.8,5,3951,447,6.9,1398.97,119848,59209,60639,86,17.1,7.7,22.1,31.8,21.3,9104,9015,79749,122241,8449,34044,95508,71,29226,22607,5186,2449,2813,4969,22.2,27
"34",3257,"Schaumburg",2013,"3257y2013",534,523,50,189,272,3,65,1145,94,9290,101,232,708,38.1,3.7,5509,612,7.7,675.57,155599,75626,79973,230,16.1,7.1,21.3,31.8,23.7,10248,9736,91156,157496,16406,49935,125175,73.5,35159,34044,7458,3279,3962,7351,17.8,28
