"","district","DistrictName.y","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","HusbandAndWifeTotal","PropwHochschulreife","PropwoHauptschulabschluss","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage","TotalArea","TotalPopulation","MalePopulation","FemalePopulation","DensityPerSQRTkm","Pop0to17","Pop18to24","Pop25to44","Pop45to64","PopOver65","InfluxTotal","OutflowTotal","BelieversProtestant","BelieversTotal","BelieversRomanCatholic","BelieversOthersNoNoResponse","EntitledVoteTotal","TurnoutPercentage","VoteConservativesTotal","VoteSocialDemocratsTotal","VoteGreensTotal","VoteLiberalsTotal","VoteLeftTotal","VoteOthersTotal","FoundationsDensity100k","FoundationsTotal"
"69",5116,"Mönchengladbach",2013,"5116y2013",1269,1610,108,575,853,8,234,2317,546,22516,365,786,916,45.5,7.1,15053,1650,12.7,170.45,255430,124452,130978,1499,16,8.4,24.3,30.5,20.8,12435,11071,46683,255188,132399,76106,192676,66.2,55030,35447,7792,7414,8080,12179,11,28
"70",5117,"Mülheim an der Ruhr",2013,"5117y2013",599,1028,68,242,389,4,126,1435,330,13249,291,619,966,54.8,3.4,6336,275,8.3,91.28,166640,79425,87215,1826,15.2,7,23,30.8,24,7320,6346,52198,166865,51264,63403,126201,75.1,32361,34601,7126,4778,6064,8819,17.4,29
"71",5119,"Oberhausen",2013,"5119y2013",1181,1461,68,370,581,4,187,1671,83,18633,506,982,935,44.6,4.7,13194,1377,13.6,77.1,209097,101827,107270,2712,15.4,7.8,24.2,31.3,21.3,8788,8520,56876,210216,84709,68630,155788,69.4,31506,44438,6874,3288,8656,11777,8.6,18
"72",5120,"Remscheid",2013,"5120y2013",661,364,27,173,249,1,66,934,61,7842,115,242,419,44.2,2.8,5420,563,10.3,74.52,108955,53172,55783,1462,16,7.7,23,31,22.2,3967,3967,39327,110708,25082,46299,79140,69,21599,16414,3678,3071,3891,5305,15.4,17
"73",5122,"Solingen",2013,"5122y2013",725,743,47,248,368,3,108,1542,288,12506,185,429,703,48.5,4.4,7398,791,9.9,89.54,155768,74822,80946,1740,16.9,7.8,23.4,30.4,21.5,6570,5475,50098,155265,40361,64806,113680,70.9,30582,24056,6614,4950,5335,8168,25.1,39
"74",5124,"Wuppertal",2013,"5124y2013",2470,2105,115,650,1152,6,451,3450,487,34190,414,842,1614,46.7,4.9,21122,2188,13.1,168.39,343488,166113,177375,2040,16.1,8.3,24.8,29.3,21.4,16403,14584,113827,342661,77025,151809,246429,69.6,57318,54291,16702,9827,14013,17145,25.4,87
"75",5154,"Kleve",2013,"5154y2013",1097,1285,131,345,515,6,148,2187,128,22316,259,573,1441,39.7,5.5,10171,1169,7.2,1232.99,302698,149466,153232,245,17.3,8.1,23.3,31.8,19.5,19326,17734,51586,300989,189311,60093,225823,71.7,77833,43253,9856,9094,7322,12802,25.2,76
"76",5158,"Mettmann",2013,"5158y2013",2037,2409,227,687,945,10,219,3578,343,33899,675,1586,1990,43.4,4.4,18023,1486,7.9,407.22,476633,229018,247615,1170,16.2,6.8,22,31.5,23.5,23969,22676,141761,477778,158594,177422,371057,74.8,115950,80753,20107,17081,14454,26192,17.6,84
"77",5162,"Rhein-Kreis Neuss",2013,"5162y2013",1657,2318,232,478,748,2,224,3065,327,31665,697,1544,2077,50.5,3.4,14622,1239,7.1,576.52,440602,213436,227166,764,17,7,23.5,31.3,21.2,24216,21847,88525,437393,211829,137039,333345,74.7,115691,64594,15362,17367,11574,21837,16,70
"78",5166,"Viersen",2013,"5166y2013",943,1006,112,287,425,6,114,1842,225,16459,381,782,1329,49.1,4.3,11316,1198,8,563.28,294921,143168,151753,524,16.6,7.6,22.2,32.7,20.8,15685,14973,56412,296175,164367,75397,227631,73.6,76747,44103,11106,10493,8897,14451,12.2,36
"79",5170,"Wesel",2013,"5170y2013",2085,2298,155,672,980,2,286,3725,390,32747,656,1424,2201,45.7,4.3,17582,1814,8.2,1042.8,457033,221795,235238,438,15.8,7.5,22.2,32.8,21.7,22228,21482,151659,460419,174744,134017,360651,74,96770,97730,17291,11593,17071,23736,14.1,65
"80",5314,"Bonn",2013,"5314y2013",1749,2455,119,679,1185,0,457,3064,374,34649,774,1747,1449,56.8,2.8,11368,898,7.8,141.06,311287,147304,163983,2207,16.8,9.4,29,26.6,18.2,25266,24118,67285,305765,119177,119303,226487,77.3,62844,44909,23686,14418,10988,16394,64.4,198
"81",5315,"Köln",2013,"5315y2013",8615,11965,647,3488,5574,35,1851,11313,1934,153744,2412,5055,5190,47.8,4.3,52124,3718,10.6,405.01,1034175,501577,532598,2553,15.7,8.5,31.5,26.7,17.6,62317,53838,167382,1005775,385783,452610,722435,72.5,171386,154707,73400,31284,42054,46567,35.9,364
"82",5316,"Leverkusen",2013,"5316y2013",967,930,81,371,552,4,161,1399,34,14061,252,548,611,50.7,5.7,6860,779,9.3,78.87,160819,77865,82954,2039,16.7,7.4,24.3,29.7,21.9,7743,6533,35842,158984,62094,61048,117980,72,33172,26993,6486,4373,4919,8066,12.5,20
"83",5334,"Aachen",2013,"5334y2013",2987,3687,563,1321,2058,20,649,4717,672,51953,999,2195,2580,51.7,3.7,25069,2338,9.8,706.95,545067,272493,272574,771,15.8,10.5,25.7,28.3,19.7,36088,32856,77428,539516,301544,160543,408308,73.2,115056,89329,27705,16349,20750,26313,15.9,86
"84",5358,"Düren",2013,"5358y2013",1297,1428,116,443,665,7,189,1964,111,19033,387,874,1177,44.7,3.8,10793,1292,8.8,941.37,258385,127307,131078,274,17,8.1,22.9,31.7,20.2,15628,14920,34753,258760,157202,66806,199550,72.9,63532,42549,8729,7102,8120,13439,12.8,33
"85",5362,"Rhein-Erft-Kreis",2013,"5362y2013",2166,2597,230,643,1052,13,340,4232,274,37358,914,1840,2112,47.4,3.4,18403,1851,8.6,704.62,456602,222057,234545,648,17.1,7.6,23.6,31.3,20.4,30807,28374,76985,451514,229753,144777,344341,73.9,105259,76374,17746,14319,12809,22547,9.1,41
"86",5366,"Euskirchen",2013,"5366y2013",649,894,57,254,345,2,81,1214,117,11382,244,525,868,46,3.2,6192,744,6.8,1248.73,187437,92289,95148,150,17.1,7.6,22.2,32.8,20.3,11035,10493,27379,187940,120194,40366,148648,71.7,49317,25697,7062,7527,5532,10017,14.9,28
"87",5370,"Heinsberg",2013,"5370y2013",1095,1428,175,344,503,5,125,1991,201,17297,371,816,1238,45.3,4.3,9443,1194,8.1,627.99,248233,122114,126119,395,17.4,8,22.9,32,19.6,15047,13944,42232,248161,152525,53404,188266,71.5,65417,34895,7336,6543,6915,11533,8.5,21
"88",5374,"Oberbergischer Kreis",2013,"5374y2013",964,749,109,328,464,6,101,1538,98,13177,254,597,1310,44,3.7,8750,1005,6.7,918.85,270290,132055,138235,294,17.9,8,22.6,31,20.5,14577,14592,103240,273011,83581,86190,209414,72.1,67437,40185,10347,8446,8055,14476,17.6,48
"89",5378,"Rheinisch-Bergischer Kreis",2013,"5378y2013",904,1100,57,248,360,1,90,1676,236,14262,391,857,1369,51.5,2.7,9205,803,7.2,437.32,278440,134690,143750,637,17.1,7.1,21.4,31.9,22.5,15363,14263,73661,278183,110656,93865,216414,78.2,73278,43721,15113,11676,8473,15459,16.9,47
"90",5382,"Rhein-Sieg-Kreis",2013,"5382y2013",1752,2731,151,662,1036,10,313,3860,487,33932,900,2079,2790,50,4.5,17986,2083,6.6,1153.2,582280,283675,298605,505,17.8,7.7,22.9,31.4,20.3,37775,35162,132997,578252,267043,178212,448168,75.3,148047,85636,28122,24264,16929,30659,17.4,101
"91",5512,"Bottrop",2013,"5512y2013",471,821,39,190,273,4,71,753,42,8942,177,374,520,47.9,4.5,5277,646,9.9,100.61,116055,56061,59994,1154,15.7,7.6,23.7,31.8,21.2,3861,3680,25683,117311,58666,32962,89657,71.7,21102,26710,3500,2025,4074,6177,6.8,8
"92",5513,"Gelsenkirchen",2013,"5513y2013",1737,2120,139,613,1025,8,376,2141,194,25331,587,1153,1180,36.9,8.5,17946,1810,16,104.94,257850,126979,130871,2457,16.4,8.4,25,29.6,20.7,12371,10951,77787,258766,87144,93835,181476,65.3,32380,51514,6413,3468,8880,14293,8.1,21
"93",5515,"Münster",2013,"5515y2013",1587,1115,119,559,833,1,243,3280,675,28777,392,931,1495,59.1,3.7,9257,850,6.5,303.28,299708,143029,156679,988,14.8,12.3,30.6,25.6,16.7,21450,18772,62207,289576,148408,78961,227762,79.1,67626,48579,27118,12119,11254,12106,59.6,175
"94",5554,"Borken",2013,"5554y2013",1453,1344,116,395,563,3,142,2221,116,24610,237,673,1975,38.7,4,8725,990,4.8,1420.98,364271,181075,183196,256,19.3,8.8,24,30.2,17.7,23890,23195,47419,363755,256470,59865,275979,74.9,109507,52647,11980,10762,7711,12594,15.9,58
"95",5558,"Coesfeld",2013,"5558y2013",786,818,87,204,295,1,74,1563,155,13242,245,535,1466,44.3,2.7,3945,493,3.7,1112.04,215282,105691,109591,194,18.3,8,22.5,32.4,18.9,10540,10104,36076,215269,144496,34697,170708,78.3,66480,34086,10576,7402,5522,8496,27,58
"96",5562,"Recklinghausen",2013,"5562y2013",2858,3691,222,966,1505,11,452,5405,586,50955,912,2131,2498,42.6,5.1,35158,3430,12.2,760.45,613878,298151,315727,807,15.9,7.5,23,31.8,21.7,26800,25748,176423,619382,261190,181769,480075,71.6,117899,134538,20074,11983,21824,33233,12.8,79
"97",5566,"Steinfurt",2013,"5566y2013",1572,1329,94,429,598,1,141,2911,311,27251,288,678,1928,41.7,3.5,11609,1512,5.4,1795.76,434481,214563,219918,242,18.7,8.4,23.2,30.8,18.9,20757,20108,105370,433659,249406,78884,337572,75.3,114287,79130,18582,12335,11566,16051,12.4,54
"98",5570,"Warendorf",2013,"5570y2013",939,662,50,229,335,2,78,1814,196,14122,188,472,1124,43.3,2.9,8821,960,6.6,1319.41,272623,133849,138774,207,18.3,7.8,23,30.9,20,13020,12582,51582,273477,161524,60371,210355,75.2,73764,45609,11305,8486,6858,10511,18.7,51
"99",5711,"Bielefeld",2013,"5711y2013",1648,1313,92,474,724,3,200,2304,656,26001,325,718,1305,47.5,4.3,15533,1704,10.4,258.82,328864,158461,170403,1271,16.8,9.2,27.1,26.9,20,16193,15130,134832,326870,53197,138841,238358,72.5,60120,55842,19883,6765,14496,13774,39.1,128
"100",5754,"Gütersloh",2013,"5754y2013",1068,887,86,364,533,8,139,1745,155,17641,241,556,1590,44,3.4,10273,1162,5.9,969.21,352334,174654,177680,364,18.5,8.2,24.5,30.1,18.8,21315,20258,109874,350420,136093,104452,262477,72.6,87417,53770,14915,9253,9347,13854,22.2,78
"101",5758,"Herford",2013,"5758y2013",823,930,86,241,382,5,115,1311,171,13243,170,405,1104,48.6,3.9,8315,935,7,450.41,248988,121285,127703,553,17.1,7.7,23.1,30.5,21.6,13533,12859,144554,250704,27525,78625,193511,71.1,52974,48056,10359,5609,7999,11039,17.2,43
"102",5762,"Höxter",2013,"5762y2013",561,233,39,185,218,2,24,969,112,7051,18,75,616,48.2,3.9,3944,470,5.9,1201.42,142788,70709,72079,119,17.5,8,22.1,31.2,21.1,7643,7890,28376,145678,91381,25922,114147,73.7,42941,21246,4537,4193,3716,6417,15.9,23
"103",5766,"Lippe",2013,"5766y2013",828,919,77,408,574,10,124,1549,183,14689,169,466,1585,41.3,3.9,13725,1555,8.5,1246.21,345374,167812,177562,277,17.9,8,22.2,30.2,21.8,17913,18026,177768,348681,43695,127218,271671,72.7,76355,68044,14852,8928,10547,16416,22.7,79
"104",5770,"Minden-Lübbecke",2013,"5770y2013",810,1099,87,302,470,7,138,1548,294,15722,196,525,1266,46.4,3.8,9385,1079,6.4,1152.41,309356,151399,157957,268,17.7,7.9,22.6,30.6,21.2,15668,15206,187550,312169,25986,98633,243969,70.4,69915,58034,12465,7829,8524,13183,16.1,50
"105",5774,"Paderborn",2013,"5774y2013",1086,956,63,412,566,3,120,1755,211,17753,145,365,1459,40.3,2.9,10087,1125,6.9,1246.8,296688,147341,149347,238,18.3,9.4,26.3,29.1,17,15715,15297,52078,294602,174048,68476,227078,71,81916,36911,11506,8047,8423,12600,17.6,52
"106",5911,"Bochum",2013,"5911y2013",2466,2924,152,872,1337,9,417,3810,489,38342,750,1549,1387,46.2,4,19112,1696,11.4,145.66,361734,174396,187338,2483,14.2,8.6,26.1,29.3,21.8,17764,16821,118286,362286,118791,125209,279860,72.3,59659,79434,18334,7227,15896,19358,14.1,51
"107",5913,"Dortmund",2013,"5913y2013",3975,6593,336,1935,3257,19,1221,6362,1291,80540,1293,2464,2183,43.8,6.3,38511,3659,14.6,280.71,575944,281116,294828,2052,15.6,8.7,26.7,28.6,20.4,30562,25469,184189,571143,162520,224434,420647,68.1,82316,111863,27155,11246,22221,28686,12.3,70
"108",5914,"Hagen",2013,"5914y2013",1010,979,55,320,553,2,212,1817,240,16346,318,630,743,45.3,3.7,10154,1104,11.8,160.35,185996,89907,96089,1160,16,7.9,23.4,30.1,22.6,7905,7318,64190,187944,54719,69035,136908,67.1,31370,33795,5948,3874,6410,9306,13.3,25
"109",5915,"Hamm",2013,"5915y2013",793,1092,47,297,455,4,120,1724,245,14766,168,348,786,35.8,5.5,9416,891,11.5,226.43,176048,85813,90235,777,17.5,8.4,24.6,29.2,20.4,6647,6595,56786,176037,65872,53379,128218,69.7,33474,33562,5226,3424,5509,7192,6.8,12
"110",5916,"Herne",2013,"5916y2013",1015,1093,80,246,409,3,146,1592,169,15483,292,619,650,43.3,5.9,10510,975,15.2,51.42,154417,74675,79742,3003,15.8,8,24.3,29.9,22,7011,6228,49697,155160,49373,56090,115053,68.3,21938,34208,4608,2163,6288,8202,4.5,7
"111",5954,"Ennepe-Ruhr-Kreis",2013,"5954y2013",1328,1332,91,395,589,4,173,2922,429,21553,554,1079,1816,47.8,4.3,12779,976,8.3,408.44,322731,155738,166993,790,15.1,7.4,22.3,32.2,23,15200,14806,135387,326049,76898,113765,257169,73.9,63986,70531,15929,8707,11908,16831,19.1,62
"112",5958,"Hochsauerlandkreis",2013,"5958y2013",949,846,43,232,358,9,89,1824,194,14777,92,311,1159,42.5,3.8,7497,753,5.8,1960.17,261999,129615,132384,134,17.1,7.9,22.6,31.2,21.2,10939,11543,40782,266509,181319,44410,205948,73.7,74530,42054,7161,7625,7055,11621,11.3,30
"113",5962,"Märkischer Kreis",2013,"5962y2013",2117,1984,105,583,875,14,234,3888,275,26386,449,974,1901,41.4,6.3,15864,1604,7.9,1061.06,416240,203569,212671,392,16.9,7.9,22.9,31.2,21.1,28505,30577,154743,423819,131179,137896,313028,70,89552,69679,12493,10400,12629,21764,13,55
"114",5966,"Olpe",2013,"5966y2013",560,304,31,170,209,1,33,951,79,6825,68,170,697,44.6,5.5,3653,405,5.3,712.14,134947,67266,67681,189,17.8,8.1,23.9,31.1,19,5711,5910,18366,136491,95949,22175,103997,73.7,41421,18641,3204,3725,2947,6020,12.5,17
"115",5970,"Siegen-Wittgenstein",2013,"5970y2013",1112,644,38,381,483,1,81,2302,344,16892,133,322,1303,46.1,3.2,8678,1095,6.4,1132.89,274904,135077,139827,243,16.3,8.8,23.7,30.4,20.8,14737,14452,147073,276834,58360,71401,215751,72.6,64307,49563,9937,7327,8920,14842,21.7,60
"116",5974,"Soest",2013,"5974y2013",1245,954,75,372,521,4,118,2479,271,18710,226,549,1427,47.5,3.6,10355,967,7.1,1328.64,294971,144777,150194,222,17.4,7.7,23.2,31.2,20.4,14781,14570,74042,296875,162003,60830,232311,72.3,74380,50439,11565,8218,8721,12823,14.8,44
"117",5978,"Unna",2013,"5978y2013",1676,1807,127,556,872,5,272,3565,577,29338,620,1362,1654,47.5,5.2,19835,1728,10.7,543.21,391622,189556,202066,721,16.3,7.6,22.6,31.9,21.6,18018,17517,149061,396060,132338,114661,309941,72.9,74304,90103,16331,8579,14017,20286,10.9,43
"118",6411,"Darmstadt",2013,"6411y2013",574,459,29,315,438,1,109,1098,282,11218,91,208,733,57.7,2.3,5072,483,7.4,122.09,149743,75275,74468,1226,15.7,10.8,30.4,25.5,17.7,13282,11574,47431,143499,27716,68352,104846,74.3,23789,20896,13613,3859,6199,8050,55.5,81
"119",6412,"Frankfurt am Main",2013,"6412y2013",3914,5609,284,2176,3315,34,1016,7296,1664,112049,838,2130,2807,40.6,4.9,26233,1950,8.3,248.31,701350,344952,356398,2824,15.9,7.7,34.3,26.1,16,60667,50228,139322,667925,155034,373569,414972,70.7,97081,76466,41563,20188,24462,28141,76.7,519
"120",6413,"Offenbach am Main",2013,"6413y2013",568,929,41,314,558,8,210,902,131,13343,219,460,414,37.3,6.2,6899,530,12.5,44.89,119203,58963,60240,2655,18,8.5,29.2,26.6,17.6,14127,12713,20836,113443,28840,63767,66773,65.6,14271,11699,5312,2168,3821,5346,26.1,30
"121",6414,"Wiesbaden",2013,"6414y2013",1635,1606,72,792,1062,13,222,2350,221,23017,261,555,1444,39.7,5.8,10773,1198,8.3,203.92,273871,130760,143111,1343,17.2,7.5,27.9,27.8,19.6,17694,16466,76160,269121,61723,131238,189698,69.8,50187,36041,15133,8801,7668,11853,34,92
"122",6431,"Bergstraße",2013,"6431y2013",537,752,28,228,324,10,79,1051,66,10787,132,353,1232,45.2,2.6,6250,364,5.1,719.52,262322,128647,133675,365,16,7.4,23.1,32.3,21.2,16662,15050,82931,260741,98624,79186,199685,74.3,61337,39838,12520,7975,7025,15864,16.8,44
"123",6432,"Darmstadt-Dieburg",2013,"6432y2013",583,619,39,236,308,7,56,1067,104,9583,125,330,1343,33.2,4.9,7652,787,5.6,658.65,285407,140871,144536,433,17,7.6,24,31.7,19.7,20780,19388,112556,282601,66750,103295,213250,76.1,60354,46391,17114,8100,8872,16991,12.7,36
"124",6433,"Groß-Gerau",2013,"6433y2013",454,645,38,202,289,5,67,1064,72,10546,210,394,967,30.1,4.6,8311,872,6.8,453.05,257301,127204,130097,568,17.4,7.8,26.3,29.4,19.1,19630,17110,75718,251050,54456,120875,174002,73.2,45389,37781,13129,5762,7693,13935,10.7,27
"125",6434,"Hochtaunuskreis",2013,"6434y2013",600,644,67,213,309,9,69,1382,171,10612,306,713,1172,46.4,3.1,4555,324,4.6,482.02,229167,110265,118902,475,17.8,6.3,23.1,30.5,22.2,16802,15433,72334,226130,58790,95006,164977,78.9,56153,27994,12609,11738,5594,13592,59.5,135
"126",6435,"Main-Kinzig-Kreis",2013,"6435y2013",908,1034,80,350,582,16,175,2042,318,19883,268,746,2180,33.7,4.1,10988,1202,5.8,1397.55,404995,198091,206904,290,16.6,7.5,24.3,30.9,20.6,27291,24660,144937,400862,111915,144010,300303,72.8,85862,59401,17961,11075,12372,25479,15.2,61
"127",6436,"Main-Taunus-Kreis",2013,"6436y2013",621,801,51,275,356,3,64,1202,67,10422,250,610,766,44.5,2.9,5400,460,5,222.39,228021,110818,117203,1025,17.7,6.4,25,30.1,20.8,17338,15338,61221,224059,69897,92941,165510,78.7,55420,29250,12914,10134,5573,14238,26.2,59
"128",6437,"Odenwaldkreis",2013,"6437y2013",193,110,6,76,102,0,22,370,25,2674,22,59,423,35.5,3.1,2990,360,6.6,623.98,96201,47380,48821,154,16.1,8,22.3,31.8,21.7,6141,6101,48020,96613,17077,31516,72165,73.1,19374,15937,4210,2438,3154,5783,26.9,26
"129",6438,"Offenbach",2013,"6438y2013",831,1203,77,375,582,6,175,1684,216,16914,331,798,1191,41.5,3.5,9964,937,6.2,356.3,338300,165651,172649,949,16.8,7.1,25.2,30.2,20.6,24085,21861,79160,332327,103901,149267,238993,75.2,74005,43948,16963,11180,9484,19461,26.1,30
"130",6439,"Rheingau-Taunus-Kreis",2013,"6439y2013",420,450,24,149,203,3,35,952,109,6230,119,306,1030,41.2,4.9,4142,303,4.9,811.48,181190,88594,92596,223,16.5,7,22.4,32.3,21.8,12364,11488,57914,180226,58615,63697,138232,77.6,46154,26761,10020,7099,4673,10196,21.6,39
"131",6440,"Wetteraukreis",2013,"6440y2013",786,762,82,292,408,15,89,1609,102,12829,187,451,1294,46.3,4.3,8225,865,6,1100.73,295408,145084,150324,268,17,7.5,23.9,31.3,20.2,20699,18392,135117,292573,59205,98251,224114,74.1,65501,44800,14519,9239,8449,19235,22.9,67
"132",6531,"Gießen",2013,"6531y2013",880,649,70,350,512,22,111,1341,116,16613,176,476,1054,43,3.7,9457,971,7.9,854.64,253820,124134,129686,297,15.6,10.3,26.2,29,18.9,26557,25424,131648,251238,40402,79188,195638,73.2,53098,41316,14215,6964,9322,14819,32.1,81
"133",6532,"Lahn-Dill-Kreis",2013,"6532y2013",584,490,35,216,320,25,62,962,85,9481,144,312,1116,28.2,4,8330,905,6.9,1066.52,251327,123096,128231,236,16.7,8.1,23.3,30.9,21.1,13982,13855,138177,253441,36995,78269,192843,68.9,54660,38980,9262,5653,6716,14151,19.8,50
"134",6533,"Limburg-Weilburg",2013,"6533y2013",464,615,32,212,280,11,39,793,46,8645,99,235,764,38.7,3.6,5222,557,6.6,738.48,169964,83781,86183,230,17.1,7.7,23.4,31.6,20.1,11489,10932,53739,170696,74890,42067,130580,71.3,41292,24715,6159,4602,4214,9632,16.4,28
"135",6534,"Marburg-Biedenkopf",2013,"6534y2013",835,389,31,251,371,11,83,1454,255,10717,71,208,1090,39.6,4.1,5928,655,5.2,1262.55,241656,117854,123802,191,16.2,10.8,25.5,28.7,18.9,17251,16335,130608,241226,44020,66598,184686,70.9,46993,42749,13443,5111,8720,10893,34.8,84
"136",6535,"Vogelsbergkreis",2013,"6535y2013",275,217,12,91,119,5,15,446,16,3763,25,82,470,29.3,3.9,2661,310,5.2,1458.99,106383,52712,53671,73,15.3,7.3,21.7,32.9,22.8,4872,4947,73965,108509,16399,18146,87084,73,24755,19108,4454,3271,3336,6681,18.5,20
"137",6611,"Kassel",2013,"6611y2013",936,1012,121,483,769,16,246,1747,356,19545,200,422,882,44.1,6.6,9947,1153,11.3,106.78,194087,93967,100120,1818,15.3,9.9,28.1,27,19.7,14497,13066,80373,190765,28547,81845,142558,68.5,28003,30040,14267,3882,9883,9252,49.5,95
"138",6631,"Fulda",2013,"6631y2013",622,486,26,249,342,7,74,1137,241,10813,45,131,992,33,3.3,4138,446,4,1380.39,216314,106118,110196,157,17.5,8.5,24,29.8,20.2,12690,12046,43277,216179,134536,38366,169080,73.3,65276,24218,7900,5700,5245,12720,25.5,55
"139",6632,"Hersfeld-Rotenburg",2013,"6632y2013",391,368,21,136,207,7,59,626,41,6350,31,133,484,23.3,3.5,3211,380,5.8,1097.13,119651,59158,60493,109,15.8,7.1,22.5,31.3,23.3,6435,6227,80850,120694,12148,27696,96830,72.6,25618,24865,4289,2637,3674,7145,7.5,9
"140",6633,"Kassel",2013,"6633y2013",407,375,79,198,256,3,44,965,128,7588,117,285,1056,32.5,3.3,6415,697,5.9,1292.92,233352,113798,119554,180,15.6,6.9,21.7,32.1,23.7,13287,12790,141049,234933,31306,62578,191012,75.5,46470,54063,12180,5344,8383,13250,49.5,95
"141",6634,"Schwalm-Eder-Kreis",2013,"6634y2013",413,403,39,165,244,8,56,813,90,7057,67,209,753,39.9,5.2,5042,626,6,1538.49,179429,89142,90287,117,15.9,7.5,22.7,32,22,9282,9151,124427,181851,21376,36047,145635,75.1,36369,39851,8040,4707,5758,10866,21,38
"142",6635,"Waldeck-Frankenberg",2013,"6635y2013",412,327,22,135,192,3,44,607,59,5509,33,110,778,31.2,4.9,4373,524,5.8,1848.45,156607,77326,79281,85,16.5,7.5,22.2,31.8,22,8093,7965,101766,158990,23472,33752,126432,71,35329,27750,6767,5140,4454,7828,13.3,21
"143",6636,"Werra-Meißner-Kreis",2013,"6636y2013",328,239,32,95,137,6,25,707,79,5139,23,79,459,28.2,4.8,3429,392,7.7,1024.7,100356,48909,51447,98,14.8,7.1,21,32.3,24.8,5337,5130,68823,102124,12133,21168,83373,73.3,20254,22048,4579,2377,3910,5857,23.6,24
"144",7111,"Koblenz",2013,"7111y2013",1077,485,46,343,429,2,77,1980,889,12704,100,198,578,44.8,5.7,3708,335,7.2,105.13,110643,53188,57455,1052,14.4,9.5,27.1,27.5,21.5,8561,7391,20312,107825,56040,31473,85008,70.6,25379,15596,5668,3404,3524,5675,31.5,34
"145",7131,"Ahrweiler",2013,"7131y2013",596,427,54,211,258,1,35,1061,136,9844,124,304,611,39.8,3.7,2913,317,5,786.99,126102,61536,64566,160,15.6,7.5,21.1,32.4,23.4,8885,8063,17466,125883,79962,28457,100486,75.3,37355,16409,5118,4750,3540,7451,15.9,20
"146",7132,"Altenkirchen (Westerwald)",2013,"7132y2013",704,245,38,231,270,0,32,883,51,8066,47,141,569,28.4,3.9,3953,469,6.4,642,128373,63240,65133,200,16.8,8.2,22.3,31.8,20.9,8961,9230,44451,130570,55034,31085,101640,71.3,32813,20638,4151,3244,3831,6742,10.8,14
"147",7133,"Bad Kreuznach",2013,"7133y2013",871,412,27,270,372,4,79,1144,68,11034,79,218,784,35.9,4.7,5829,630,7.9,863.7,155297,75420,79877,180,16.4,7.4,22.4,32.3,21.6,11011,10415,68096,155599,50108,37395,121082,72.4,35392,26840,6038,5002,4646,8210,29,45
"148",7134,"Birkenfeld",2013,"7134y2013",393,204,16,107,132,2,13,563,48,4359,35,106,337,26.8,3.7,2914,331,7.6,776.55,80673,39697,40976,104,15.2,7.4,21.4,32.9,23,5165,5036,46129,82778,18627,18022,66391,67.2,17943,13868,2183,2234,2839,4609,23.1,19
"149",7135,"Cochem-Zell",2013,"7135y2013",301,128,15,72,83,2,7,318,30,2925,34,66,323,17.2,8.1,1358,163,4.5,719.97,63202,31485,31717,88,15.9,7.5,21.3,32.4,22.9,4083,3965,6664,64188,47393,10130,50837,74.6,20832,7817,1783,2193,1541,3111,3.1,2
"150",7137,"Mayen-Koblenz",2013,"7137y2013",860,472,45,286,350,3,47,1236,108,10840,136,324,1163,23.1,6,5596,639,5.5,817.26,209785,102901,106884,257,16.3,7.6,23.2,32.3,20.6,13573,13052,30670,210307,133725,45913,166969,72.3,57173,31839,7524,5989,5350,11029,19.5,41
"151",7138,"Neuwied",2013,"7138y2013",811,439,43,237,330,4,72,1211,143,11263,159,327,806,21.3,8.7,5540,643,6.6,626.88,179454,87750,91704,286,17,7.9,21.9,31.8,21.4,11347,10907,47476,180674,80292,52904,138693,72.9,45192,28228,6510,4779,5134,9894,25.5,46
"152",7140,"Rhein-Hunsrück-Kreis",2013,"7140y2013",276,259,19,101,132,0,24,526,60,4833,24,83,519,25.7,4.4,2652,287,5.3,963.39,100770,49780,50990,105,16.4,7.6,22.4,32.6,21,6893,6725,36198,102323,47534,18590,80609,73.5,26705,15828,3621,3617,2904,5458,20.7,21
"153",7141,"Rhein-Lahn-Kreis",2013,"7141y2013",495,171,21,139,177,0,24,681,35,5835,48,125,636,31.6,7.7,2779,192,4.8,782.34,121375,59764,61611,155,15.7,7.4,22.1,32.5,22.3,8674,8510,57422,123203,36911,28870,97109,72.5,28180,21663,4815,3390,3672,7514,15.5,19
"154",7143,"Westerwaldkreis",2013,"7143y2013",827,539,62,202,251,2,29,1069,156,9324,120,272,844,21,6.1,4519,479,4.6,988.97,198704,98331,100373,201,17.2,7.8,23.3,32,19.7,15201,14597,56723,200058,97520,45816,154628,73.7,53139,29874,6661,5953,5565,11155,13,26
"155",7211,"Trier",2013,"7211y2013",893,366,39,305,413,1,101,1466,123,13790,56,152,578,41.7,4.6,3146,384,6.2,117.13,107233,51782,55451,916,13.7,13,29.8,25.7,17.7,13806,12987,13587,105671,67832,24252,81697,69.2,21562,14859,7151,2936,4192,5153,44.2,47
