"","district","district_year","districtName","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","HusbandAndWifeTotal","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage"
"252",9272,"9272y2013",NA,234,52,63,0,4,369,846,25,220,402,0,199,1637,162,4.5
"253",9273,"9273y2013",NA,403,128,144,0,10,551,1229,47,345,530,0,307,1870,213,3.3
"254",9274,"9274y2013",NA,495,115,140,2,18,666,1362,43,451,701,0,167,2234,254,3
"255",9275,"9275y2013",NA,555,124,150,4,17,820,1798,61,479,892,0,366,3793,430,4.3
"256",9276,"9276y2013",NA,252,58,71,3,3,436,819,27,244,413,0,135,1569,139,4.3
"257",9277,"9277y2013",NA,443,137,161,10,8,527,1400,55,384,681,0,280,2217,284,4
"258",9278,"9278y2013",NA,265,53,65,1,4,425,783,16,261,360,0,146,1560,180,3.3
"259",9279,"9279y2013",NA,364,91,104,1,8,404,1012,27,326,412,0,247,1410,179,2.9
"260",9361,"9361y2013",NA,279,58,78,0,17,210,886,60,129,400,0,297,1398,148,6.9
"261",9362,"9362y2013",NA,1178,323,441,5,94,1014,1937,92,329,790,0,726,3629,323,5.3
"262",9363,"9363y2013",NA,406,106,134,6,20,225,872,28,127,441,0,276,1611,170,8
"263",9371,"9371y2013",NA,238,77,95,0,12,429,712,18,270,347,0,77,1885,221,3.7
"264",9372,"9372y2013",NA,404,96,108,0,6,613,1469,29,397,761,0,282,2453,291,4
"265",9373,"9373y2013",NA,391,98,110,2,4,562,1609,40,447,759,0,363,1739,181,2.8
"266",9374,"9374y2013",NA,329,96,114,2,7,404,853,32,293,381,0,147,2198,255,4.7
"267",9375,"9375y2013",NA,438,92,118,4,13,759,1097,31,389,527,0,150,2709,294,2.9
"268",9376,"9376y2013",NA,510,145,172,1,18,703,1543,39,368,754,0,382,2783,342,4
"269",9377,"9377y2013",NA,182,37,54,2,9,329,715,27,184,400,0,104,1892,195,5.4
"270",9461,"9461y2013",NA,536,146,182,5,24,449,1399,43,150,431,0,775,1937,173,5.8
"271",9462,"9462y2013",NA,459,168,216,9,25,218,1274,50,168,511,0,545,2332,182,7.1
"272",9463,"9463y2013",NA,387,94,132,12,21,278,862,46,77,427,0,312,1322,140,6.9
"273",9464,"9464y2013",NA,491,125,173,2,38,188,801,48,154,327,0,272,1572,125,7.9
"274",9471,"9471y2013",NA,449,154,173,3,8,670,911,28,344,539,0,0,2491,286,3.4
"275",9472,"9472y2013",NA,287,68,84,1,8,548,740,26,199,429,0,86,2178,218,4.2
"276",9473,"9473y2013",NA,294,82,108,8,11,343,509,29,233,147,0,100,2002,222,4.7
"277",9474,"9474y2013",NA,326,79,99,9,8,584,1213,38,231,596,0,348,2070,237,3.7
"278",9475,"9475y2013",NA,394,83,103,4,14,395,727,31,203,328,0,165,2268,236,5.1
"279",9476,"9476y2013",NA,260,81,108,8,12,284,688,29,130,341,0,188,1697,166,5
"280",9477,"9477y2013",NA,360,84,109,7,9,371,689,59,196,240,0,194,2010,186,5.6
"281",9478,"9478y2013",NA,355,93,130,12,22,304,765,43,135,424,0,163,1701,180,5.1
"282",9479,"9479y2013",NA,372,77,93,1,11,326,921,51,181,445,0,244,2009,166,6
"283",9561,"9561y2013",NA,266,72,97,4,17,203,803,23,109,353,0,318,1075,138,5.5
"284",9562,"9562y2013",NA,626,186,228,5,30,436,1345,51,144,479,0,671,2487,209,4.7
"285",9563,"9563y2013",NA,527,177,251,8,45,579,1260,99,264,533,0,364,4633,452,7.9
"286",9564,"9564y2013",NA,4218,1454,1914,25,359,2396,4792,360,1213,1791,0,1428,21302,2101,8.8
"287",9565,"9565y2013",NA,140,33,40,2,3,171,664,31,96,290,0,247,969,108,5.2
"288",9571,"9571y2013",NA,537,146,186,8,21,879,1993,130,451,1041,0,371,3090,351,3.5
"289",9572,"9572y2013",NA,290,82,104,5,10,586,1367,33,311,509,0,514,1780,190,2.8
"290",9573,"9573y2013",NA,215,71,87,0,13,497,894,19,182,340,0,353,2140,198,3.9
"291",9574,"9574y2013",NA,534,160,197,2,26,843,1800,115,428,730,0,527,2771,315,3.5
"292",9575,"9575y2013",NA,268,99,118,3,10,456,1208,61,196,664,0,287,1399,194,2.9
"293",9576,"9576y2013",NA,304,91,116,1,17,629,1216,77,293,532,0,314,2115,233,3.5
"294",9577,"9577y2013",NA,351,84,106,1,12,470,1028,27,219,506,0,276,1692,191,3.8
"295",9661,"9661y2013",NA,592,153,199,2,36,345,1253,47,179,543,0,484,2410,235,7.3
"296",9662,"9662y2013",NA,457,135,160,4,12,353,1322,66,199,560,5,492,1692,155,7.1
"297",9663,"9663y2013",NA,931,293,354,2,47,516,2098,115,250,905,0,828,3274,238,5.4
"298",9671,"9671y2013",NA,408,84,111,6,15,678,1511,73,413,704,0,321,3183,375,3.8
"299",9672,"9672y2013",NA,377,76,98,0,12,529,1105,19,297,489,0,300,2259,247,4.6
"300",9673,"9673y2013",NA,297,78,85,1,5,334,1122,46,266,524,0,286,1414,179,3.7
"301",9674,"9674y2013",NA,395,88,102,1,7,417,1071,34,254,542,0,241,1706,232,4
"302",9675,"9675y2013",NA,270,74,93,3,15,456,1427,56,237,638,0,496,1579,181,3.7
"303",9676,"9676y2013",NA,454,117,136,6,7,620,1393,46,410,637,0,300,2552,287,4.1
"304",9677,"9677y2013",NA,303,90,106,1,6,562,1471,36,287,769,0,379,2014,285,3.2
"305",9678,"9678y2013",NA,324,60,75,1,7,410,553,32,276,245,0,0,1792,215,3.2
"306",9679,"9679y2013",NA,287,66,77,0,7,728,744,29,233,368,0,114,2520,264,3.2
"307",9761,"9761y2013",NA,2500,560,719,7,125,1201,3192,147,753,1248,0,1044,9429,868,7.3
"308",9762,"9762y2013",NA,319,81,101,3,8,268,764,39,151,351,0,223,1394,160,7
"309",9763,"9763y2013",NA,592,149,181,7,19,311,1170,78,220,601,0,271,1668,161,5.5
"310",9764,"9764y2013",NA,308,97,127,3,22,229,807,53,151,423,0,180,882,93,4.4
"311",9771,"9771y2013",NA,292,93,112,3,10,648,1175,43,336,595,0,201,1840,208,2.9
"312",9772,"9772y2013",NA,824,185,218,2,19,1123,2344,134,679,1081,0,450,3732,429,3.2
"313",9773,"9773y2013",NA,332,75,90,1,8,430,1126,47,277,514,0,288,1368,145,2.9
"314",9774,"9774y2013",NA,422,129,153,0,17,556,1747,125,337,808,0,477,2075,241,3.5
"315",9775,"9775y2013",NA,807,217,273,3,44,733,1647,106,423,766,0,352,3207,328,3.9
"316",9776,"9776y2013",NA,209,70,99,3,20,510,732,31,153,336,0,212,1233,144,3.4
"317",9777,"9777y2013",NA,435,109,128,1,9,766,1430,52,385,742,0,251,1970,246,3.1
"318",9778,"9778y2013",NA,412,123,140,4,9,616,1420,39,328,717,0,336,1591,216,2.5
"319",9779,"9779y2013",NA,465,96,114,2,11,637,1640,56,337,931,0,316,1543,160,2.4
"320",9780,"9780y2013",NA,478,99,119,4,8,1036,1214,33,414,566,0,201,2525,285,3.6
"321",10041,"10041y2013",NA,2274,879,1286,8,366,1412,3123,195,793,1031,55,1049,15895,1600,10.6
"322",10042,"10042y2013",NA,364,114,163,3,33,483,927,50,286,341,15,235,2748,317,5.5
"323",10043,"10043y2013",NA,644,192,278,2,62,599,1350,73,415,504,25,333,5531,659,8.7
"324",10044,"10044y2013",NA,939,301,399,1,80,954,2191,77,549,816,35,714,6773,800,7.2
"325",10045,"10045y2013",NA,497,217,272,4,42,621,1410,63,324,549,10,464,4471,447,6.5
"326",10046,"10046y2013",NA,272,82,100,1,12,433,1053,52,207,422,17,355,1964,161,4.5
"327",12051,"12051y2013",NA,415,94,147,1,42,277,529,39,92,199,0,199,4973,485,14.5
"328",12052,"12052y2013",NA,456,186,270,1,64,316,860,74,99,298,0,389,6330,581,13.2
"329",12053,"12053y2013",NA,286,108,169,2,54,200,487,33,49,203,0,202,4566,315,16
"330",12054,"12054y2013",NA,704,220,339,5,99,838,1558,65,190,446,0,857,6461,565,8.4
"331",12060,"12060y2013",NA,659,225,299,6,60,879,1229,87,148,536,0,458,8957,849,10.6
"332",12061,"12061y2013",NA,540,171,254,4,68,741,1249,89,157,535,0,468,6235,450,8.1
"333",12062,"12062y2013",NA,370,127,170,4,29,342,741,64,114,325,0,238,7252,541,14
"334",12063,"12063y2013",NA,559,207,283,2,64,726,1260,92,199,440,0,529,7815,687,10.4
"335",12064,"12064y2013",NA,603,202,288,5,68,1045,1207,105,173,560,0,369,9910,797,10.9
"336",12065,"12065y2013",NA,943,262,359,1,69,1079,1454,101,248,590,0,515,9925,732,9.9
"337",12066,"12066y2013",NA,407,125,161,2,26,549,727,65,142,308,0,212,8623,656,15.5
"338",12067,"12067y2013",NA,463,168,287,3,95,1235,1379,139,205,571,0,464,8689,732,10
"339",12068,"12068y2013",NA,472,153,201,3,36,559,746,65,175,269,0,237,5629,456,11.5
"340",12069,"12069y2013",NA,608,176,243,3,49,1088,1122,62,156,431,0,473,7592,611,7.6
"341",12070,"12070y2013",NA,445,84,121,2,27,332,518,63,62,221,0,172,5341,400,14.3
"342",12071,"12071y2013",NA,400,129,187,3,43,479,677,57,119,284,0,217,6901,415,11.6
"343",12072,"12072y2013",NA,564,159,247,9,68,880,1185,112,158,493,0,422,6850,674,8.6
"344",12073,"12073y2013",NA,403,168,227,6,49,680,1016,120,159,443,0,294,10280,812,16.8
"345",13003,"13003y2013",NA,937,459,659,9,184,987,1241,162,104,437,0,538,12019,1200,12.6
"346",13004,"13004y2013",NA,669,220,295,5,65,481,619,88,44,218,0,269,5665,535,12.8
"347",13071,"13071y2013",NA,1005,316,403,3,79,1408,1811,196,173,835,0,607,19564,1695,15.2
"348",13072,"13072y2013",NA,698,248,313,5,52,1396,1363,131,165,671,0,396,10358,969,10.3
"349",13073,"13073y2013",NA,1155,328,421,4,66,2623,1414,138,227,699,0,350,15431,1378,14.5
"350",13074,"13074y2013",NA,694,204,256,5,46,847,976,106,132,436,0,302,8332,773,10.9
"351",13075,"13075y2013",NA,973,396,527,6,118,1441,1473,180,186,684,0,423,17492,1490,15.7
"352",13076,"13076y2013",NA,737,299,390,3,77,1086,1469,154,148,724,0,443,10090,950,9.5
"353",14511,"14511y2013",NA,900,350,480,5,122,817,1301,169,159,551,0,422,12612,1057,11.5
"354",14521,"14521y2013",NA,727,228,302,3,63,1356,2420,200,211,1453,0,556,16600,1165,9.8
"355",14522,"14522y2013",NA,792,248,332,4,75,1476,2159,218,234,1114,0,593,14482,1153,9.5
"356",14523,"14523y2013",NA,696,168,238,6,54,974,1454,129,178,746,0,401,10161,772,9.4
"357",14524,"14524y2013",NA,1069,361,504,5,129,1406,2326,221,156,1223,0,726,14206,1110,9.3
"358",14612,"14612y2013",NA,2014,709,1065,11,321,1998,2843,244,246,1301,0,1052,24239,2217,9.9
"359",14625,"14625y2013",NA,1017,236,346,3,98,1283,2198,197,248,1119,0,634,15575,1048,10.4
"360",14626,"14626y2013",NA,1195,312,479,7,153,1123,1914,223,235,1012,0,444,16004,990,13.2
"361",14627,"14627y2013",NA,636,172,243,4,60,1394,1721,145,179,961,0,436,12063,898,10.3
"362",14628,"14628y2013",NA,636,157,234,3,68,1455,1603,164,136,910,0,393,11034,875,9.6
"363",14713,"14713y2013",NA,2616,1053,1615,16,523,1547,2865,412,328,1135,0,990,29716,2871,12.3
"364",14729,"14729y2013",NA,875,210,291,7,64,1638,1541,134,168,837,0,402,12188,1015,9.7
"365",14730,"14730y2013",NA,710,186,266,2,74,856,1308,143,152,715,0,298,11749,948,12
"366",15001,"15001y2013",NA,453,190,281,5,78,316,492,58,34,243,0,157,5044,423,12.9
"367",15002,"15002y2013",NA,1807,620,909,12,249,754,1506,159,172,633,0,542,13682,1162,13.2
"368",15003,"15003y2013",NA,1336,485,800,11,274,881,1354,131,108,625,0,490,13769,1334,12.5
"369",15081,"15081y2013",NA,339,138,175,0,29,448,611,68,65,327,0,151,4385,435,9.9
"370",15082,"15082y2013",NA,695,237,323,9,62,711,963,118,110,498,0,237,10394,899,12.3
"371",15083,"15083y2013",NA,665,209,272,8,41,786,1091,82,91,649,0,269,8385,738,9.3
"372",15084,"15084y2013",NA,842,236,342,8,87,793,1155,119,84,547,0,405,11831,990,13.2
"373",15085,"15085y2013",NA,814,312,431,5,91,1311,1497,123,123,830,0,421,10495,754,9.6
"374",15086,"15086y2013",NA,374,125,161,1,29,529,589,73,47,336,0,133,4961,348,11
"375",15087,"15087y2013",NA,871,185,237,1,40,593,817,130,80,427,0,180,10193,807,15.3
"376",15088,"15088y2013",NA,952,219,322,4,87,961,1065,107,81,661,0,216,10208,963,10.6
"377",15089,"15089y2013",NA,929,275,380,13,78,844,1320,139,149,728,0,304,12795,727,13.2
"378",15090,"15090y2013",NA,558,177,236,2,44,564,871,101,88,476,0,206,8445,698,14.9
"379",15091,"15091y2013",NA,539,181,249,0,54,592,791,71,72,469,0,179,7546,611,12
"380",16051,"16051y2013",NA,1732,548,716,6,142,851,1274,119,164,485,0,506,9136,620,9.5
"381",16052,"16052y2013",NA,778,229,282,1,49,341,532,48,104,200,0,180,5861,427,13.2
"382",16053,"16053y2013",NA,484,167,210,3,29,397,665,35,58,202,0,370,3771,269,7.7
"383",16054,"16054y2013",NA,218,89,108,0,13,146,191,17,49,85,0,40,1430,124,8.3
"384",16055,"16055y2013",NA,411,129,174,1,35,356,497,39,59,178,0,221,2644,210,9.5
"385",16056,"16056y2013",NA,281,93,124,3,25,240,314,36,36,121,0,121,2049,169,10.5
"386",16061,"16061y2013",NA,261,73,90,4,9,471,835,52,93,399,0,291,3469,280,6.8
"387",16062,"16062y2013",NA,323,111,144,3,23,373,643,75,130,287,0,151,4638,362,11.6
"388",16063,"16063y2013",NA,335,104,123,0,11,600,836,38,115,454,0,229,4418,361,6.9
"389",16064,"16064y2013",NA,427,142,207,2,51,468,821,83,105,362,0,271,6288,503,12.3
"390",16065,"16065y2013",NA,324,97,127,4,17,359,540,64,95,241,0,140,4686,306,12.8
"391",16066,"16066y2013",NA,509,117,162,1,34,587,856,87,130,446,0,193,4434,316,7.1
"392",16067,"16067y2013",NA,558,160,213,2,43,621,949,60,149,393,0,347,5761,447,8.7
"393",16068,"16068y2013",NA,301,83,103,0,13,276,492,45,93,251,0,103,3820,285,10.7
"394",16069,"16069y2013",NA,249,44,61,2,11,256,531,29,106,302,0,94,2085,157,6.2
"395",16070,"16070y2013",NA,539,186,249,0,56,468,722,61,88,376,0,197,4737,363,9
"396",16071,"16071y2013",NA,345,103,140,1,31,424,536,39,67,315,0,115,3174,243,7.7
"397",16072,"16072y2013",NA,267,86,106,0,17,214,360,34,44,177,0,105,1428,143,5
"398",16073,"16073y2013",NA,725,184,213,2,18,539,729,72,125,336,0,196,4892,393,9.1
"399",16074,"16074y2013",NA,351,78,98,2,13,368,528,32,69,306,0,121,3390,249,8.1
"400",16075,"16075y2013",NA,507,96,114,0,13,369,601,39,96,304,0,162,3421,278,8.2
"401",16076,"16076y2013",NA,377,104,128,2,17,431,762,41,124,404,0,193,4740,280,9.7
