"","district","BelieversProtestant","BelieversTotal","BelieversRomanCatholic","BelieversOthersNoNoResponse"
"226",7336,43309,72781,16483,12991
"227",7337,37449,108244,48881,21914
"228",7338,47855,146870,54231,44782
"229",7339,63918,200672,77693,59061
"230",7340,35383,98426,49085,13958
"231",8111,167456,585890,144975,273459
"232",8115,139887,363950,85863,138199
"233",8116,201580,502892,115450,185863
"234",8117,86804,247408,84814,75789
"235",8118,203717,509871,114439,191715
"236",8119,174570,406874,89321,142983
"237",8121,41590,116059,26813,47656
"238",8125,143240,322811,83265,96308
"239",8126,50684,107279,31355,25241
"240",8127,104605,186355,38222,43526
"241",8128,42477,130624,66958,21190
"242",8135,51442,127816,41879,34496
"243",8136,78274,306530,160193,68062
"244",8211,10548,52314,24100,17667
"245",8212,86758,289173,92055,110360
"246",8215,126953,424122,183395,113773
"247",8216,41452,222324,124265,56607
"248",8221,46542,146751,39461,60748
"249",8222,76814,290117,86468,126835
"250",8225,44444,142810,72123,26243
"251",8226,185957,524040,175717,162365
"252",8231,39003,114411,29812,45596
"253",8235,75826,151048,28894,46329
"254",8236,91873,191354,41489,57991
"255",8237,50563,115973,35650,29760
"256",8311,50823,209628,79781,79025
"257",8315,64869,247281,118381,64029
"258",8316,48574,156453,71952,35927
"259",8317,108418,410202,216921,84863
"260",8325,39874,136479,67219,29385
"261",8326,53433,203967,94513,56021
"262",8327,34456,132214,63554,34203
"263",8335,54377,266964,127653,84935
"264",8336,77233,219002,69126,72644
"265",8337,30272,163135,91193,41671
"266",8415,126954,273352,61524,84875
"267",8416,83060,211951,62069,66823
"268",8417,63313,185560,79914,42332
"269",8421,30260,116761,41572,44929
"270",8425,61537,186192,81604,43051
"271",8426,31747,187444,121340,34357
"272",8435,39512,204083,102903,61668
"273",8436,43286,269595,166760,59549
"274",8437,21050,127601,81083,25467
"275",9161,22522,124927,61928,40477
"276",9162,185547,1348335,494090,668698
"277",9163,8269,59329,29302,21758
"278",9171,12104,106023,73836,20082
"279",9172,12240,100827,65397,23192
"280",9173,17940,119178,67113,34125
"281",9174,17248,138697,75643,45806
"282",9175,18162,127568,68025,41380
"283",9176,13009,123421,90516,19895
"284",9177,12011,125706,79935,33760
"285",9178,18523,162818,89810,54485
"286",9179,31808,201597,96745,73044
"287",9180,11993,84046,51037,21016
"288",9181,16663,113085,65947,30474
"289",9182,11843,93630,55539,26248
"290",9183,10194,106414,74711,21510
"291",9184,52433,317248,135441,129375
"292",9185,12360,90593,61933,16300
"293",9186,12684,116116,76499,26933
"294",9187,29048,244257,156782,58426
"295",9188,23372,127133,55594,48166
"296",9189,19171,168509,116485,32854
"297",9190,16911,128761,78671,33180
"298",9261,7780,63544,37363,18401
"299",9262,5389,48649,33326,9934
"300",9263,6108,44488,28411,9969
"301",9271,10479,114454,87320,16655
"302",9272,3177,78172,68606,6387
"303",9273,10732,112752,80022,21999
"304",9274,12456,147161,109004,25701
"305",9275,13774,184190,149721,20695
"306",9276,4108,76782,65721,6953
"307",9277,8331,116634,92211,16092
"308",9278,6760,95852,78336,10757
"309",9279,7733,90156,67624,14799
"310",9361,8130,41911,25958,7824
"311",9362,19482,135403,77058,38863
"312",9363,7619,41746,26317,7810
"313",9371,23695,103901,68766,11441
"314",9372,6520,125689,108786,10383
"315",9373,17967,126436,90414,18055
"316",9374,12712,96316,75033,8572
"317",9375,17929,182289,136024,28336
"318",9376,11973,142407,113076,17357
"319",9377,7571,74867,61230,6065
"320",9461,13703,70635,40190,16742
"321",9462,35505,70808,18265,17038
"322",9463,21877,41023,8130,11016
"323",9464,23175,44759,8414,13170
"324",9471,20624,143610,105881,17105
"325",9472,53825,105395,37966,13605
"326",9473,56464,87775,15679,15632
"327",9474,27572,112738,65438,19728
"328",9475,67791,99371,15122,16458
"329",9476,22874,69928,39351,7702
"330",9477,44050,74071,19238,10782
"331",9478,18815,67297,40128,8354
"332",9479,42342,76044,20340,13362
"333",9561,20846,39491,9538,9107
"334",9562,34370,103719,32184,37166
"335",9563,42914,115613,28643,44056
"336",9564,155272,486314,133050,197992
"337",9565,15705,38469,11348,11416
"338",9571,108479,178353,44406,25469
"339",9572,46544,130395,53566,30285
"340",9573,55308,112786,28315,29163
"341",9574,78232,163967,44749,40986
"342",9575,63910,97475,19140,14425
"343",9576,47397,123344,51153,24794
"344",9577,51363,92371,26834,14172
"345",9661,10717,67359,34587,22055
"346",9662,15030,52143,21711,15402
"347",9663,27609,124297,64017,32671
"348",9671,19554,172612,113691,39367
"349",9672,18491,104020,72175,13354
"350",9673,18227,80829,53117,9485
"351",9674,22029,84575,53884,8662
"352",9675,33340,87719,41163,13216
"353",9676,15595,128406,83021,29789
"354",9677,19305,127508,88247,19956
"355",9678,21302,113084,76688,15094
"356",9679,30139,158095,101125,26831
"357",9761,44979,267767,123043,99745
"358",9762,8947,41550,20240,12363
"359",9763,11481,64078,31191,21406
"360",9764,11202,41241,17342,12697
"361",9771,13324,126387,86479,26584
"362",9772,32810,237095,148274,56011
"363",9773,12461,93308,65291,15556
"364",9774,14206,120182,79930,26047
"365",9775,31998,163854,83673,48183
