"","district","district_year","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","HusbandAndWifeTotal","year","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal"
"308",9762,"9762y2013",319,81,101,3,8,268,2013,764,39,151,351,0,223
"309",9763,"9763y2013",592,149,181,7,19,311,2013,1170,78,220,601,0,271
"310",9764,"9764y2013",308,97,127,3,22,229,2013,807,53,151,423,0,180
"311",9771,"9771y2013",292,93,112,3,10,648,2013,1175,43,336,595,0,201
"312",9772,"9772y2013",824,185,218,2,19,1123,2013,2344,134,679,1081,0,450
"313",9773,"9773y2013",332,75,90,1,8,430,2013,1126,47,277,514,0,288
"314",9774,"9774y2013",422,129,153,0,17,556,2013,1747,125,337,808,0,477
"315",9775,"9775y2013",807,217,273,3,44,733,2013,1647,106,423,766,0,352
"316",9776,"9776y2013",209,70,99,3,20,510,2013,732,31,153,336,0,212
"317",9777,"9777y2013",435,109,128,1,9,766,2013,1430,52,385,742,0,251
"318",9778,"9778y2013",412,123,140,4,9,616,2013,1420,39,328,717,0,336
"319",9779,"9779y2013",465,96,114,2,11,637,2013,1640,56,337,931,0,316
"320",9780,"9780y2013",478,99,119,4,8,1036,2013,1214,33,414,566,0,201
"321",10041,"10041y2013",2274,879,1286,8,366,1412,2013,3123,195,793,1031,55,1049
"322",10042,"10042y2013",364,114,163,3,33,483,2013,927,50,286,341,15,235
"323",10043,"10043y2013",644,192,278,2,62,599,2013,1350,73,415,504,25,333
"324",10044,"10044y2013",939,301,399,1,80,954,2013,2191,77,549,816,35,714
"325",10045,"10045y2013",497,217,272,4,42,621,2013,1410,63,324,549,10,464
"326",10046,"10046y2013",272,82,100,1,12,433,2013,1053,52,207,422,17,355
"327",12051,"12051y2013",415,94,147,1,42,277,2013,529,39,92,199,0,199
"328",12052,"12052y2013",456,186,270,1,64,316,2013,860,74,99,298,0,389
"329",12053,"12053y2013",286,108,169,2,54,200,2013,487,33,49,203,0,202
"330",12054,"12054y2013",704,220,339,5,99,838,2013,1558,65,190,446,0,857
"331",12060,"12060y2013",659,225,299,6,60,879,2013,1229,87,148,536,0,458
"332",12061,"12061y2013",540,171,254,4,68,741,2013,1249,89,157,535,0,468
"333",12062,"12062y2013",370,127,170,4,29,342,2013,741,64,114,325,0,238
"334",12063,"12063y2013",559,207,283,2,64,726,2013,1260,92,199,440,0,529
"335",12064,"12064y2013",603,202,288,5,68,1045,2013,1207,105,173,560,0,369
"336",12065,"12065y2013",943,262,359,1,69,1079,2013,1454,101,248,590,0,515
"337",12066,"12066y2013",407,125,161,2,26,549,2013,727,65,142,308,0,212
"338",12067,"12067y2013",463,168,287,3,95,1235,2013,1379,139,205,571,0,464
"339",12068,"12068y2013",472,153,201,3,36,559,2013,746,65,175,269,0,237
"340",12069,"12069y2013",608,176,243,3,49,1088,2013,1122,62,156,431,0,473
"341",12070,"12070y2013",445,84,121,2,27,332,2013,518,63,62,221,0,172
"342",12071,"12071y2013",400,129,187,3,43,479,2013,677,57,119,284,0,217
"343",12072,"12072y2013",564,159,247,9,68,880,2013,1185,112,158,493,0,422
"344",12073,"12073y2013",403,168,227,6,49,680,2013,1016,120,159,443,0,294
"345",13003,"13003y2013",937,459,659,9,184,987,2013,1241,162,104,437,0,538
"346",13004,"13004y2013",669,220,295,5,65,481,2013,619,88,44,218,0,269
"347",13071,"13071y2013",1005,316,403,3,79,1408,2013,1811,196,173,835,0,607
"348",13072,"13072y2013",698,248,313,5,52,1396,2013,1363,131,165,671,0,396
"349",13073,"13073y2013",1155,328,421,4,66,2623,2013,1414,138,227,699,0,350
"350",13074,"13074y2013",694,204,256,5,46,847,2013,976,106,132,436,0,302
"351",13075,"13075y2013",973,396,527,6,118,1441,2013,1473,180,186,684,0,423
"352",13076,"13076y2013",737,299,390,3,77,1086,2013,1469,154,148,724,0,443
"353",14511,"14511y2013",900,350,480,5,122,817,2013,1301,169,159,551,0,422
"354",14521,"14521y2013",727,228,302,3,63,1356,2013,2420,200,211,1453,0,556
"355",14522,"14522y2013",792,248,332,4,75,1476,2013,2159,218,234,1114,0,593
"356",14523,"14523y2013",696,168,238,6,54,974,2013,1454,129,178,746,0,401
"357",14524,"14524y2013",1069,361,504,5,129,1406,2013,2326,221,156,1223,0,726
"358",14612,"14612y2013",2014,709,1065,11,321,1998,2013,2843,244,246,1301,0,1052
"359",14625,"14625y2013",1017,236,346,3,98,1283,2013,2198,197,248,1119,0,634
"360",14626,"14626y2013",1195,312,479,7,153,1123,2013,1914,223,235,1012,0,444
"361",14627,"14627y2013",636,172,243,4,60,1394,2013,1721,145,179,961,0,436
"362",14628,"14628y2013",636,157,234,3,68,1455,2013,1603,164,136,910,0,393
"363",14713,"14713y2013",2616,1053,1615,16,523,1547,2013,2865,412,328,1135,0,990
"364",14729,"14729y2013",875,210,291,7,64,1638,2013,1541,134,168,837,0,402
"365",14730,"14730y2013",710,186,266,2,74,856,2013,1308,143,152,715,0,298
"366",15001,"15001y2013",453,190,281,5,78,316,2013,492,58,34,243,0,157
"367",15002,"15002y2013",1807,620,909,12,249,754,2013,1506,159,172,633,0,542
"368",15003,"15003y2013",1336,485,800,11,274,881,2013,1354,131,108,625,0,490
"369",15081,"15081y2013",339,138,175,0,29,448,2013,611,68,65,327,0,151
"370",15082,"15082y2013",695,237,323,9,62,711,2013,963,118,110,498,0,237
"371",15083,"15083y2013",665,209,272,8,41,786,2013,1091,82,91,649,0,269
"372",15084,"15084y2013",842,236,342,8,87,793,2013,1155,119,84,547,0,405
"373",15085,"15085y2013",814,312,431,5,91,1311,2013,1497,123,123,830,0,421
"374",15086,"15086y2013",374,125,161,1,29,529,2013,589,73,47,336,0,133
"375",15087,"15087y2013",871,185,237,1,40,593,2013,817,130,80,427,0,180
"376",15088,"15088y2013",952,219,322,4,87,961,2013,1065,107,81,661,0,216
"377",15089,"15089y2013",929,275,380,13,78,844,2013,1320,139,149,728,0,304
"378",15090,"15090y2013",558,177,236,2,44,564,2013,871,101,88,476,0,206
"379",15091,"15091y2013",539,181,249,0,54,592,2013,791,71,72,469,0,179
"380",16051,"16051y2013",1732,548,716,6,142,851,2013,1274,119,164,485,0,506
"381",16052,"16052y2013",778,229,282,1,49,341,2013,532,48,104,200,0,180
"382",16053,"16053y2013",484,167,210,3,29,397,2013,665,35,58,202,0,370
"383",16054,"16054y2013",218,89,108,0,13,146,2013,191,17,49,85,0,40
"384",16055,"16055y2013",411,129,174,1,35,356,2013,497,39,59,178,0,221
"385",16056,"16056y2013",281,93,124,3,25,240,2013,314,36,36,121,0,121
"386",16061,"16061y2013",261,73,90,4,9,471,2013,835,52,93,399,0,291
"387",16062,"16062y2013",323,111,144,3,23,373,2013,643,75,130,287,0,151
"388",16063,"16063y2013",335,104,123,0,11,600,2013,836,38,115,454,0,229
"389",16064,"16064y2013",427,142,207,2,51,468,2013,821,83,105,362,0,271
"390",16065,"16065y2013",324,97,127,4,17,359,2013,540,64,95,241,0,140
"391",16066,"16066y2013",509,117,162,1,34,587,2013,856,87,130,446,0,193
"392",16067,"16067y2013",558,160,213,2,43,621,2013,949,60,149,393,0,347
"393",16068,"16068y2013",301,83,103,0,13,276,2013,492,45,93,251,0,103
"394",16069,"16069y2013",249,44,61,2,11,256,2013,531,29,106,302,0,94
"395",16070,"16070y2013",539,186,249,0,56,468,2013,722,61,88,376,0,197
"396",16071,"16071y2013",345,103,140,1,31,424,2013,536,39,67,315,0,115
"397",16072,"16072y2013",267,86,106,0,17,214,2013,360,34,44,177,0,105
"398",16073,"16073y2013",725,184,213,2,18,539,2013,729,72,125,336,0,196
"399",16074,"16074y2013",351,78,98,2,13,368,2013,528,32,69,306,0,121
"400",16075,"16075y2013",507,96,114,0,13,369,2013,601,39,96,304,0,162
"401",16076,"16076y2013",377,104,128,2,17,431,2013,762,41,124,404,0,193
