"","district","district_year","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","HusbandAndWifeTotal","year","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal"
"72",5119,"5119y2013",1181,370,581,4,187,935,2013,2599,121,448,869,3,1158
"73",5120,"5120y2013",661,173,249,1,66,419,2013,1706,48,291,613,0,754
"74",5122,"5122y2013",725,248,368,3,108,703,2013,2050,91,307,657,0,995
"75",5124,"5124y2013",2470,650,1152,6,451,1614,2013,4637,225,695,1547,4,2166
"76",5154,"5154y2013",1097,345,515,6,148,1441,2013,4265,234,646,1691,0,1694
"77",5158,"5158y2013",2037,687,945,10,219,1990,2013,6445,285,883,2481,0,2796
"78",5162,"5162y2013",1657,478,748,2,224,2077,2013,6502,222,770,2225,0,3285
"79",5166,"5166y2013",943,287,425,6,114,1329,2013,4794,208,559,1670,2,2355
"80",5170,"5170y2013",2085,672,980,2,286,2201,2013,6606,283,900,2402,0,3021
"81",5314,"5314y2013",1749,679,1185,0,457,1449,2013,5448,153,528,1668,5,3094
"82",5315,"5315y2013",8615,3488,5574,35,1851,5190,2013,11805,504,1736,3922,6,5637
"83",5316,"5316y2013",967,371,552,4,161,611,2013,2350,135,256,767,0,1192
"84",5334,"5334y2013",2987,1321,2058,20,649,2580,2013,7422,273,977,2338,0,3834
"85",5358,"5358y2013",1297,443,665,7,189,1177,2013,3857,146,568,1419,0,1724
"86",5362,"5362y2013",2166,643,1052,13,340,2112,2013,6171,212,804,2232,0,2923
"87",5366,"5366y2013",649,254,345,2,81,868,2013,3158,102,464,1138,0,1454
"88",5370,"5370y2013",1095,344,503,5,125,1238,2013,3834,164,518,1416,0,1736
"89",5374,"5374y2013",964,328,464,6,101,1310,2013,4516,167,568,1795,0,1986
"90",5378,"5378y2013",904,248,360,1,90,1369,2013,3791,101,402,1337,0,1951
"91",5382,"5382y2013",1752,662,1036,10,313,2790,2013,8222,373,988,2751,2,4108
"92",5512,"5512y2013",471,190,273,4,71,520,2013,1399,63,180,486,0,670
"93",5513,"5513y2013",1737,613,1025,8,376,1180,2013,3733,316,732,1309,0,1376
"94",5515,"5515y2013",1587,559,833,1,243,1495,2013,4446,165,417,1211,25,2628
"95",5554,"5554y2013",1453,395,563,3,142,1975,2013,6273,252,838,2755,0,2428
"96",5558,"5558y2013",786,204,295,1,74,1466,2013,3477,93,414,1428,0,1542
"97",5562,"5562y2013",2858,966,1505,11,452,2498,2013,8622,440,1229,3280,0,3673
"98",5566,"5566y2013",1572,429,598,1,141,1928,2013,7323,257,1119,2894,0,3053
"99",5570,"5570y2013",939,229,335,2,78,1124,2013,4429,130,596,1784,0,1919
"100",5711,"5711y2013",1648,474,724,3,200,1305,2013,5124,219,618,1844,7,2436
"101",5754,"5754y2013",1068,364,533,8,139,1590,2013,5683,193,763,2228,0,2499
"102",5758,"5758y2013",823,241,382,5,115,1104,2013,4044,159,394,1526,0,1965
"103",5762,"5762y2013",561,185,218,2,24,616,2013,2856,112,307,1060,0,1377
"104",5766,"5766y2013",828,408,574,10,124,1585,2013,5241,202,746,2126,0,2167
"105",5770,"5770y2013",810,302,470,7,138,1266,2013,5282,202,646,1981,1,2452
"106",5774,"5774y2013",1086,412,566,3,120,1459,2013,4770,139,772,1930,5,1924
"107",5911,"5911y2013",2466,872,1337,9,417,1387,2013,4819,191,656,1741,4,2227
"108",5913,"5913y2013",3975,1935,3257,19,1221,2183,2013,7321,460,1044,2605,8,3204
"109",5914,"5914y2013",1010,320,553,2,212,743,2013,2871,106,398,1066,1,1300
"110",5915,"5915y2013",793,297,455,4,120,786,2013,2741,152,472,1137,0,980
"111",5916,"5916y2013",1015,246,409,3,146,650,2013,2127,125,326,754,0,922
"112",5954,"5954y2013",1328,395,589,4,173,1816,2013,4269,184,481,1564,0,2040
"113",5958,"5958y2013",949,232,358,9,89,1159,2013,4254,162,603,1681,0,1808
"114",5962,"5962y2013",2117,583,875,14,234,1901,2013,6072,384,872,2305,0,2511
"115",5966,"5966y2013",560,170,209,1,33,697,2013,2308,126,347,806,0,1029
"116",5970,"5970y2013",1112,381,483,1,81,1303,2013,4709,153,556,1806,24,2170
"117",5974,"5974y2013",1245,372,521,4,118,1427,2013,4842,174,584,1783,1,2300
"118",5978,"5978y2013",1676,556,872,5,272,1654,2013,6056,317,831,2030,0,2878
"119",6411,"6411y2013",574,315,438,1,109,733,2013,2397,56,191,711,57,1382
"120",6412,"6412y2013",3914,2176,3315,34,1016,2807,2013,6153,299,768,2526,64,2496
"121",6413,"6413y2013",568,314,558,8,210,414,2013,1506,94,309,519,23,561
"122",6414,"6414y2013",1635,792,1062,13,222,1444,2013,3110,180,382,1273,40,1235
"123",6431,"6431y2013",537,228,324,10,79,1232,2013,3408,87,417,1336,27,1541
"124",6432,"6432y2013",583,236,308,7,56,1343,2013,3063,151,527,1369,0,1016
"125",6433,"6433y2013",454,202,289,5,67,967,2013,2897,134,516,1374,0,873
"126",6434,"6434y2013",600,213,309,9,69,1172,2013,2774,87,375,1024,0,1288
"127",6435,"6435y2013",908,350,582,16,175,2180,2013,5061,206,881,2269,0,1705
"128",6436,"6436y2013",621,275,356,3,64,766,2013,2611,77,345,1027,0,1162
"129",6437,"6437y2013",193,76,102,0,22,423,2013,1311,41,209,595,0,466
"130",6438,"6438y2013",831,375,582,6,175,1191,2013,3884,134,567,1478,92,1613
"131",6439,"6439y2013",420,149,203,3,35,1030,2013,2034,99,261,836,0,838
"132",6440,"6440y2013",786,292,408,15,89,1294,2013,4110,178,543,1486,0,1903
"133",6531,"6531y2013",880,350,512,22,111,1054,2013,3642,133,396,1520,28,1565
"134",6532,"6532y2013",584,216,320,25,62,1116,2013,3040,122,602,1421,38,857
"135",6533,"6533y2013",464,212,280,11,39,764,2013,2608,93,497,999,10,1009
"136",6534,"6534y2013",835,251,371,11,83,1090,2013,2925,120,400,1245,3,1157
"137",6535,"6535y2013",275,91,119,5,15,470,2013,1170,46,209,572,0,343
"138",6611,"6611y2013",936,483,769,16,246,882,2013,2551,168,316,913,30,1124
"139",6631,"6631y2013",622,249,342,7,74,992,2013,3176,105,590,1434,0,1047
"140",6632,"6632y2013",391,136,207,7,59,484,2013,1410,50,285,713,33,329
"141",6633,"6633y2013",407,198,256,3,44,1056,2013,2669,89,428,1285,0,867
"142",6634,"6634y2013",413,165,244,8,56,753,2013,2469,129,325,1030,0,985
"143",6635,"6635y2013",412,135,192,3,44,778,2013,1993,97,328,947,0,621
"144",6636,"6636y2013",328,95,137,6,25,459,2013,1124,54,232,521,0,317
"145",7111,"7111y2013",1077,343,429,2,77,578,2013,1515,87,254,442,53,679
"146",7131,"7131y2013",596,211,258,1,35,611,2013,1413,52,239,535,25,562
"147",7132,"7132y2013",704,231,270,0,32,569,2013,1677,65,355,752,29,476
"148",7133,"7133y2013",871,270,372,4,79,784,2013,1745,82,363,658,15,627
"149",7134,"7134y2013",393,107,132,2,13,337,2013,792,29,186,351,14,212
"150",7135,"7135y2013",301,72,83,2,7,323,2013,529,43,120,273,2,91
"151",7137,"7137y2013",860,286,350,3,47,1163,2013,2112,127,478,1002,18,487
"152",7138,"7138y2013",811,237,330,4,72,806,2013,2170,188,382,1113,25,462
"153",7140,"7140y2013",276,101,132,0,24,519,2013,1194,53,292,531,11,307
"154",7141,"7141y2013",495,139,177,0,24,636,2013,1357,105,241,568,14,429
"155",7143,"7143y2013",827,202,251,2,29,844,2013,2148,131,497,1050,18,452
"156",7211,"7211y2013",893,305,413,1,101,578,2013,1457,67,277,474,31,608
"157",7231,"7231y2013",508,149,186,3,19,557,2013,1272,72,196,669,14,321
"158",7232,"7232y2013",284,89,117,0,17,432,2013,1217,47,216,511,19,424
"159",7233,"7233y2013",258,68,80,1,7,288,2013,784,39,134,364,3,244
"160",7235,"7235y2013",406,130,157,1,18,635,2013,1251,92,228,598,9,324
"161",7311,"7311y2013",357,110,158,0,42,208,2013,679,60,116,232,16,255
"162",7312,"7312y2013",1150,457,592,3,122,378,2013,1336,67,192,400,62,615
"163",7313,"7313y2013",329,116,154,0,29,239,2013,880,49,118,315,12,386
"164",7314,"7314y2013",1770,560,795,5,202,581,2013,1774,160,418,513,47,636
"165",7315,"7315y2013",1786,597,754,7,131,803,2013,2345,42,334,717,91,1161
"166",7316,"7316y2013",339,172,196,1,18,312,2013,500,35,77,117,6,265
"167",7317,"7317y2013",309,122,167,3,38,149,2013,492,33,105,148,7,199
"168",7318,"7318y2013",412,112,149,0,31,434,2013,878,22,109,278,19,450
"169",7319,"7319y2013",573,239,371,0,114,291,2013,878,36,163,348,13,318
"170",7320,"7320y2013",185,53,71,0,17,193,2013,508,26,73,176,14,219
"171",7331,"7331y2013",404,131,164,2,24,660,2013,1554,68,279,671,55,481
"172",7332,"7332y2013",703,226,283,0,50,771,2013,1049,78,183,459,8,321
"173",7333,"7333y2013",303,117,147,0,28,351,2013,1035,61,188,493,20,273
"174",7334,"7334y2013",636,177,208,1,22,523,2013,1132,45,200,574,4,309
"175",7335,"7335y2013",423,122,143,0,16,517,2013,1052,66,237,448,20,281
"176",7336,"7336y2013",277,86,100,1,11,353,2013,737,27,161,397,9,143
"177",7337,"7337y2013",431,135,154,0,11,637,2013,1069,52,102,538,13,364
"178",7338,"7338y2013",652,156,215,1,39,638,2013,1068,42,245,626,7,148
"179",7339,"7339y2013",883,211,266,4,37,1047,2013,1921,81,313,741,43,743
"180",7340,"7340y2013",190,66,83,1,6,478,2013,752,17,213,399,9,114
"181",8111,"8111y2013",4758,1567,2272,19,576,2501,2013,5467,244,855,2127,45,2196
"182",8115,"8115y2013",1319,319,423,10,65,1513,2013,4244,167,819,1995,0,1263
"183",8116,"8116y2013",1521,499,644,16,103,2120,2013,5578,218,1140,2471,36,1713
"184",8117,"8117y2013",780,214,316,6,75,1197,2013,2888,134,552,1471,11,720
"185",8118,"8118y2013",1709,412,577,10,123,2226,2013,5555,263,881,2784,7,1620
"186",8119,"8119y2013",1577,420,541,12,94,1718,2013,4599,238,793,2359,27,1182
"187",8121,"8121y2013",619,221,297,4,63,536,2013,1728,63,403,782,0,480
"188",8125,"8125y2013",674,206,273,4,39,1533,2013,3603,146,822,1838,0,797
"189",8126,"8126y2013",271,100,121,1,11,517,2013,1333,57,344,648,0,284
"190",8127,"8127y2013",522,152,211,3,43,961,2013,2390,107,554,1175,7,547
"191",8128,"8128y2013",278,56,87,2,18,544,2013,1710,69,407,859,0,375
"192",8135,"8135y2013",352,150,191,1,28,527,2013,1583,67,386,728,0,402
"193",8136,"8136y2013",849,297,395,5,68,1303,2013,4090,160,868,1958,18,1086
"194",8211,"8211y2013",214,86,118,7,22,347,2013,627,31,134,176,0,286
"195",8212,"8212y2013",1413,685,940,9,226,1441,2013,2595,154,293,1057,17,1074
"196",8215,"8215y2013",921,310,440,8,91,1860,2013,4749,176,803,2488,0,1282
"197",8216,"8216y2013",669,243,324,6,60,954,2013,2314,134,528,1117,1,534
"198",8221,"8221y2013",711,276,366,3,78,898,2013,1526,24,178,478,3,843
"199",8222,"8222y2013",1474,809,1159,20,279,1221,2013,2918,168,381,1370,26,973
"200",8225,"8225y2013",356,103,157,2,41,643,2013,1758,85,501,725,0,447
"201",8226,"8226y2013",1405,453,584,11,95,2513,2013,4990,229,861,2420,0,1480
"202",8231,"8231y2013",775,205,298,3,74,485,2013,1594,79,357,654,9,495
"203",8235,"8235y2013",397,76,115,11,15,728,2013,1873,77,398,961,0,437
"204",8236,"8236y2013",366,86,124,2,32,862,2013,1968,85,375,1109,0,399
"205",8237,"8237y2013",329,136,161,4,14,529,2013,1333,78,317,680,0,258
"206",8311,"8311y2013",2106,671,870,6,161,1237,2013,2432,127,355,858,15,1077
"207",8315,"8315y2013",987,245,311,5,48,1151,2013,2667,100,489,1301,0,777
"208",8316,"8316y2013",566,171,230,1,38,701,2013,1806,105,441,937,0,323
"209",8317,"8317y2013",1400,369,575,14,151,1937,2013,5271,216,1161,2470,8,1416
"210",8325,"8325y2013",298,106,130,3,21,551,2013,1621,63,388,756,0,414
"211",8326,"8326y2013",456,198,269,2,53,863,2013,2589,160,525,1324,8,572
"212",8327,"8327y2013",454,135,176,3,31,615,2013,1672,77,363,890,0,342
"213",8335,"8335y2013",1111,359,489,13,83,1450,2013,2917,108,719,1308,0,782
"214",8336,"8336y2013",1069,275,378,3,76,1000,2013,2624,82,633,1228,23,658
"215",8337,"8337y2013",525,136,191,3,37,736,2013,1942,90,475,946,0,431
"216",8415,"8415y2013",1009,360,447,13,52,1294,2013,3253,160,706,1471,34,882
"217",8416,"8416y2013",721,198,249,5,33,1000,2013,2516,137,455,967,2,955
"218",8417,"8417y2013",527,213,253,2,26,770,2013,2248,102,496,1214,0,436
"219",8421,"8421y2013",663,256,368,8,88,660,2013,1634,77,255,619,0,683
"220",8425,"8425y2013",337,110,154,4,25,786,2013,2065,95,498,1093,0,379
"221",8426,"8426y2013",679,136,175,3,26,915,2013,2461,108,555,1279,0,519
"222",8435,"8435y2013",646,204,251,2,30,1148,2013,2492,150,483,1210,8,641
"223",8436,"8436y2013",1201,385,477,7,68,1371,2013,3879,207,731,2078,1,862
"224",8437,"8437y2013",408,144,176,4,16,564,2013,1743,100,274,883,0,486
"225",9161,"9161y2013",1071,315,378,9,44,617,2013,1708,75,323,749,0,561
"226",9162,"9162y2013",8816,3339,4070,37,541,4688,2013,11473,684,2489,4541,0,3759
"227",9163,"9163y2013",721,208,252,6,24,225,2013,1027,64,180,447,0,336
"228",9171,"9171y2013",404,107,133,4,20,557,2013,1243,40,291,624,0,288
"229",9172,"9172y2013",339,66,101,5,20,516,2013,1073,49,264,523,0,237
"230",9173,"9173y2013",390,90,113,3,18,699,2013,1508,33,297,725,0,453
"231",9174,"9174y2013",435,104,140,1,21,591,2013,1523,76,423,637,0,387
"232",9175,"9175y2013",321,109,138,2,18,533,2013,1418,81,209,623,0,505
"233",9176,"9176y2013",265,93,110,0,7,594,2013,1321,23,266,746,0,286
"234",9177,"9177y2013",409,115,142,1,15,580,2013,1440,40,402,658,0,340
