"","district","FoundationsDensity100k","FoundationsTotal"
"270",1055,19.7,39
"271",12068,6,6
"272",5774,17.6,52
"273",9262,9.2,17
"274",9275,61.7,30
"275",3157,10.8,14
"276",9186,6.8,8
"277",8231,28.6,33
"278",1056,13.8,41
"279",7317,32,13
"280",1057,29.1,37
"281",12069,3.4,7
"282",12054,33,52
"283",12070,7.5,6
"284",8216,12.2,27
"285",8436,27.4,74
"286",5562,12.8,79
"287",9276,15.7,12
"288",9375,7.1,13
"289",9362,55,75
"290",3241,35,387
"291",8119,17.9,73
"292",5120,15.4,17
"293",1058,23.1,62
"294",8415,22.7,62
"295",5362,9.1,41
"296",7140,20.7,21
"297",5162,16,70
"298",7141,15.5,19
"299",8226,7.6,40
"300",7338,13.6,20
"301",5382,17.4,101
"302",6439,21.6,39
"303",5378,16.9,47
"304",9673,24.9,20
"305",9163,17.9,44
"306",9187,38.6,23
"307",3357,27.1,44
"308",9576,12.2,15
"309",9277,9.4,11
"310",8325,14,19
"311",16074,9.4,8
"312",16075,5.9,5
"313",15088,5.8,11
"314",16073,9.8,11
"315",10041,23.2,76
"316",10044,8.6,17
"317",10045,22.1,32
"318",14628,8.5,21
"319",3102,6.1,6
"320",15089,16.7,34
"321",3257,17.8,28
"322",1059,16.3,32
"323",16066,7.9,10
"324",9565,20.7,8
"325",8127,12.9,24
"326",6634,21,38
"327",9376,11.9,17
"328",8326,17.6,36
"329",9662,14.2,16
"330",9678,103.6,54
"331",1060,9.2,24
"332",5970,21.7,60
"333",8437,26.7,34
"334",5974,14.8,44
"335",5122,25.1,39
"336",3358,30.9,42
"337",16068,9.8,7
"338",16072,3.4,2
"339",7318,54.3,27
"340",12071,4.1,5
"341",10046,17.8,16
"342",3359,21,41
"343",5334,15.9,86
"344",9188,38.2,49
"345",1061,19.2,25
"346",5566,12.4,54
"347",15090,11,13
"348",1062,16.9,39
"349",9278,7.3,7
"350",9263,29.1,13
"351",8111,62.6,370
"352",7337,15.7,17
"353",7340,6.1,6
"354",16054,2.7,1
"355",12072,5,8
"356",9377,13.4,10
"357",9189,18.4,31
"358",7235,10.5,15
"359",7211,44.2,47
"360",8416,35.2,75
"361",8327,9.8,13
"362",12073,9.7,12
"363",3360,27.9,26
"364",8421,56.2,66
"365",5978,10.9,43
"366",16064,14.2,15
"367",9778,20.6,28
"368",3460,40.7,54
"369",3361,19.7,26
"370",5166,12.2,36
"371",6535,18.5,20
"372",14523,7.1,17
"373",7233,9.8,6
"374",6635,13.3,21
"375",8337,17.8,29
"376",5570,18.7,51
"377",16063,5.5,7
"378",9363,35.9,15
"379",9190,22.5,29
"380",16055,39.8,25
"381",16071,8.5,7
"382",9577,36.9,34
"383",6636,23.6,24
"384",5170,14.1,65
"385",3461,23.5,21
"386",7143,13,26
"387",6440,22.9,67
"388",6414,34,92
"389",3405,20.8,16
"390",15091,12.9,17
"391",3462,23,13
"392",3158,29.1,35
"393",3103,14.1,17
"394",7319,23.9,19
"395",9479,25.2,19
"396",5124,25.4,87
"397",9663,7,11
"398",9679,89.2,111
"399",8417,16.7,31
"400",7320,32.2,11
"401",14524,6.6,22
