"","year","district","InfluxTotal","OutflowTotal"
"239",2013,8326,13439,12535
"240",2013,8327,8658,7809
"241",2013,8335,25404,22012
"242",2013,8336,16400,14679
"243",2013,8337,12263,11254
"245",2013,8415,18865,17387
"246",2013,8416,18478,17262
"247",2013,8417,10952,10525
"248",2013,8421,11035,9924
"249",2013,8425,12005,11256
"250",2013,8426,12797,11807
"251",2013,8435,19530,17739
"252",2013,8436,20005,18716
"253",2013,8437,8537,8497
"256",2013,9161,10100,9026
"257",2013,9162,121340,107260
"258",2013,9163,4537,4002
"259",2013,9171,7361,6688
"260",2013,9172,7735,6893
"261",2013,9173,9134,7583
"262",2013,9174,11767,9466
"263",2013,9175,10642,8893
"264",2013,9176,8197,7603
"265",2013,9177,9799,8040
"266",2013,9178,16198,13973
"267",2013,9179,16052,13129
"268",2013,9180,7312,6344
"269",2013,9181,7883,7158
"270",2013,9182,8292,6791
"271",2013,9183,8108,6782
"272",2013,9184,30552,26491
"273",2013,9185,5724,4827
"274",2013,9186,8960,7405
"275",2013,9187,20243,17181
"276",2013,9188,10579,9216
"277",2013,9189,11631,10374
"278",2013,9190,8588,7561
"280",2013,9261,5933,4809
"281",2013,9262,4243,3629
"282",2013,9263,3385,2763
"283",2013,9271,8078,7094
"284",2013,9272,3401,3314
"285",2013,9273,7340,6064
"286",2013,9274,10227,8741
"287",2013,9275,10650,9306
"288",2013,9276,3678,3424
"289",2013,9277,6952,6282
"290",2013,9278,6747,6007
"291",2013,9279,7156,5737
"293",2013,9361,2472,2254
"294",2013,9362,12242,10333
"295",2013,9363,2452,2246
"296",2013,9371,4874,4757
"297",2013,9372,5887,5436
"298",2013,9373,6926,6045
"299",2013,9374,4909,5144
"300",2013,9375,12346,10621
"301",2013,9376,8013,7367
"302",2013,9377,2945,3004
"304",2013,9461,5903,5438
"305",2013,9462,6302,6005
"306",2013,9463,2800,2610
"307",2013,9464,3121,2764
"308",2013,9471,8522,7602
"309",2013,9472,5168,4984
"310",2013,9473,4811,4672
"311",2013,9474,5994,5732
"312",2013,9475,4820,4834
"313",2013,9476,2888,3052
"314",2013,9477,3356,3193
"315",2013,9478,3175,3308
"316",2013,9479,3422,3556
"318",2013,9561,2854,2515
"319",2013,9562,9018,8942
"320",2013,9563,9817,8252
"321",2013,9564,36195,32340
"322",2013,9565,2628,2112
"323",2013,9571,10786,9804
"324",2013,9572,8703,8047
"325",2013,9573,15534,14710
"326",2013,9574,10207,9187
"327",2013,9575,5819,5524
"328",2013,9576,6648,6094
"329",2013,9577,4958,4496
"331",2013,9661,4580,4225
"332",2013,9662,3477,3461
"333",2013,9663,11056,10749
"334",2013,9671,10600,9941
"335",2013,9672,5380,5161
"336",2013,9673,4043,3974
"337",2013,9674,4284,4181
"338",2013,9675,5543,5126
"339",2013,9676,7563,7349
"340",2013,9677,6235,5968
"341",2013,9678,6808,6363
"342",2013,9679,10420,9771
"344",2013,9761,20307,16137
"345",2013,9762,2355,2016
"346",2013,9763,4715,4111
"347",2013,9764,2562,2245
"348",2013,9771,8991,7758
"349",2013,9772,16646,14605
"350",2013,9773,5142,4946
"351",2013,9774,8155,7362
"352",2013,9775,12634,11231
"353",2013,9776,6203,5696
"354",2013,9777,8412,7483
"355",2013,9778,9170,7922
"356",2013,9779,7789,7169
"357",2013,9780,10487,9163
"359",2013,10041,19765,18687
"360",2013,10041100,11763,10843
"361",2013,10042,5287,5090
"362",2013,10043,6861,6808
"363",2013,10044,12225,11715
"364",2013,10045,7684,7153
"365",2013,10046,4044,4040
"368",2013,12051,2786,2596
"369",2013,12052,4640,4560
"370",2013,12053,2860,3052
"371",2013,12054,10156,8431
"372",2013,12060,10041,8804
"373",2013,12061,9768,8707
"374",2013,12062,3813,4408
"375",2013,12063,8360,7164
"376",2013,12064,11255,9724
"377",2013,12065,11595,10055
"378",2013,12066,4427,4860
"379",2013,12067,12569,11845
"380",2013,12068,4836,4455
"381",2013,12069,12281,10528
"382",2013,12070,3412,3608
"383",2013,12071,4382,4778
"384",2013,12072,9215,7829
"385",2013,12073,5392,5748
"387",2013,13001,NA,NA
"388",2013,13002,NA,NA
"389",2013,13003,11355,10538
"390",2013,13004,5006,4305
"391",2013,13005,NA,NA
"392",2013,13006,NA,NA
"393",2013,13051,NA,NA
"394",2013,13052,NA,NA
"395",2013,13053,NA,NA
"396",2013,13054,NA,NA
"397",2013,13055,NA,NA
"398",2013,13056,NA,NA
"399",2013,13057,NA,NA
"400",2013,13058,NA,NA
"401",2013,13059,NA,NA
"402",2013,13060,NA,NA
"403",2013,13061,NA,NA
"404",2013,13062,NA,NA
"405",2013,13071,13118,13687
"406",2013,13072,12986,12316
"407",2013,13073,13933,13381
"408",2013,13074,9508,9540
"409",2013,13075,14405,14182
"410",2013,13076,16317,15810
"413",2013,14161,NA,NA
"414",2013,14166,NA,NA
"415",2013,14167,NA,NA
"416",2013,14171,NA,NA
"417",2013,14173,NA,NA
"418",2013,14177,NA,NA
"419",2013,14178,NA,NA
"420",2013,14181,NA,NA
"421",2013,14182,NA,NA
"422",2013,14188,NA,NA
