district;Landkreis/Stadt;Bundesland;Dichte;Anzahl
12053;Frankfurt (Oder), Kreisfreie Stadt;Brandenburg;8,5;5
6412;Frankfurt am Main, Kreisfreie Stadt;Hessen;76,7;519
8311;Freiburg im Breisgau, Kreisfreie Stadt;Baden-Württemberg;37,3;80
9178;Freising, Landkreis;Bayern;17,0;28
8237;Freudenstadt, Landkreis;Baden-Württemberg;13,0;15
9272;Freyung-Grafenau, Landkreis;Bayern;11,5;9
3455;Friesland, Landkreis;Niedersachsen;27,6;27
6631;Fulda, Landkreis;Hessen;25,5;55
9179;Fürstenfeldbruck, Landkreis;Bayern;14,3;29
9563;Fürth, Landkreis;Bayern;11,5;13
9573;Fürth, Stadt;Bayern;30,0;35
9180;Garmisch-Partenkirchen, Landkreis;Bayern;39,2;33
5513;Gelsenkirchen, Kreisfreie Stadt;Nordrhein-Westfalen;8,1;21
16052;Gera, krsfr. Stadt;Thüringen;6,3;6
7334;Germersheim, Landkreis;Rheinland-Pfalz;12,9;16
6531;Gießen, Landkreis;Hessen;32,1;81
3151;Gifhorn, Landkreis;Niedersachsen;9,4;16
8117;Göppingen, Landkreis;Baden-Württemberg;17,0;42
14626;Görlitz, Landkreis;Sachsen;14,9;40
3153;Goslar, Landkreis;Niedersachsen;30,8;43
16067;Gotha, Kreis;Thüringen;6,6;9
3152;Göttingen, Landkreis;Niedersachsen;29,4;73
3456;Grafschaft Bentheim, Landkreis;Niedersachsen;15,0;20
16076;Greiz, Kreis;Thüringen;2,9;3
6433;Groß-Gerau, Landkreis;Hessen;10,7;27
9774;Günzburg, Landkreis;Bayern;23,3;28
5754;Gütersloh, Kreis;Nordrhein-Westfalen;22,2;78
5914;Hagen, Kreisfreie Stadt;Nordrhein-Westfalen;13,3;25
15002;Halle (Saale), Kreisfreie Stadt;Sachsen-Anhalt;13,0;30
2;Hamburg;Hamburg;69,5;1194
3252;Hameln-Pyrmont, Landkreis;Niedersachsen;28,1;42
5915;Hamm, Kreisfreie Stadt;Nordrhein-Westfalen;6,8;12
3353;Harburg, Landkreis;Niedersachsen;16,7;40
15085;Harz, Landkreis;Sachsen-Anhalt;13,3;30
9674;Haßberge, Landkreis;Bayern;8,3;7
12063;Havelland, Landkreis;Brandenburg;3,3;5
8221;Heidelberg, Kreisfreie Stadt;Baden-Württemberg;45,8;68
8135;Heidenheim, Landkreis;Baden-Württemberg;14,1;18
8121;Heilbronn, Kreisfreie Stadt;Baden-Württemberg;22,3;26
8125;Heilbronn, Landkreis;Baden-Württemberg;14,5;47
5370;Heinsberg, Kreis;Nordrhein-Westfalen;8,5;21
3154;Helmstedt, Landkreis;Niedersachsen;12,1;11
5758;Herford, Kreis;Nordrhein-Westfalen;17,2;43
5916;Herne, Kreisfreie Stadt;Nordrhein-Westfalen;4,5;7
6632;Hersfeld-Rotenburg, Landkreis;Hessen;7,5;9
1053;Herzogtum Lauenburg, Landkreis;Schleswig-Holstein;14,9;28
16069;Hildburghausen, Kreis;Thüringen;9,1;6
3254;Hildesheim, Landkreis;Niedersachsen;21,3;59
5958;Hochsauerlandkreis;Nordrhein-Westfalen;11,3;30
6434;Hochtaunuskreis;Hessen;59,5;135
9464;Hof, Landkreis;Bayern;23,3;23
9475;Hof, Stadt;Bayern;60,7;27
8126;Hohenlohekreis;Baden-Württemberg;28,0;30
3255;Holzminden, Landkreis;Niedersachsen;36,9;27
5762;Höxter, Kreis;Nordrhein-Westfalen;15,9;23
16070;Ilm-Kreis;Thüringen;9,1;10
9161;Ingolstadt, Stadt;Bayern;11,9;15
16053;Jena, krsfr. Stadt;Thüringen;23,5;25
15086;Jerichower Land, Landkreis;Sachsen-Anhalt;7,5;7
7312;Kaiserslautern, Kreisfreie Stadt;Rheinland-Pfalz;37,1;36
7335;Kaiserslautern, Landkreis;Rheinland-Pfalz;5,7;6
8212;Karlsruhe, Kreisfreie Stadt;Baden-Württemberg;34,9;102
8215;Karlsruhe, Landkreis;Baden-Württemberg;9,4;40
6611;Kassel, Kreisfreie Stadt;Hessen;49,5;95
6633;Kassel, Landkreis;Hessen;8,5;20
9762;Kaufbeuren, Stadt;Bayern;77,2;32
9273;Kelheim, Landkreis;Bayern;19,4;22
9763;Kempten (Allgäu);Bayern;60,7;39
1002;Kiel, Landeshauptstadt, Kreisfreie Stadt;Schleswig-Holstein;36,6;87
9675;Kitzingen, Landkreis;Bayern;30,8;27
5154;Kleve, Kreis;Nordrhein-Westfalen;25,2;76
7111;Koblenz, Kreisfreie Stadt;Rheinland-Pfalz;31,5;34
5315;Köln, Kreisfreie Stadt;Nordrhein-Westfalen;35,9;364
8335;Konstanz, Landkreis;Baden-Württemberg;18,3;49
5114;Krefeld, Kreisfreie Stadt;Nordrhein-Westfalen;27,5;61
13003;Kreisfreie Stadt Rostock, Hansestadt;Mecklenburg-Vorpommern;9,9;20
13004;Kreisfreie Stadt Schwerin, Landeshauptstadt;Mecklenburg-Vorpommern;21,9;20
9476;Kronach, Landkreis;Bayern;25,9;18
9477;Kulmbach, Landkreis;Bayern;32,6;24
7336;Kusel, Landkreis;Rheinland-Pfalz;12,4;9
16065;Kyffhäuserkreis;Thüringen;5,0;4
6532;Lahn-Dill-Kreis;Hessen;19,8;50
7313;Landau in der Pfalz, Kreisfreie Stadt;Rheinland-Pfalz;36,8;16
13076;Landkreis Ludwigslust-Parchim;Mecklenburg-Vorpommern;9,4;20
13071;Landkreis Mecklenburgische Seenplatte;Mecklenburg-Vorpommern;7,9;21
13074;Landkreis Nordwestmecklenburg;Mecklenburg-Vorpommern;12,2;19
13072;Landkreis Rostock;Mecklenburg-Vorpommern;4,2;9
13075;Landkreis Vorpommern-Greifswald;Mecklenburg-Vorpommern;12,0;29
13073;Landkreis Vorpommern-Rügen;Mecklenburg-Vorpommern;8,9;20
9181;Landsberg am Lech, Landkreis;Bayern;23,8;27
9261;Landshut, Landkreis;Bayern;8,1;12
9274;Landshut, Stadt;Bayern;23,3;15
3457;Leer, Landkreis;Niedersachsen;15,2;25
14713;Leipzig, Landkreis;Sachsen;6,5;17
14729;Leipzig, Stadt;Sachsen;13,7;70
