"","district","DistrictName","TotalPopulation"
"133",6532,"Lahn-Dill-Kreis",251327
"162",7313,"Landau in der Pfalz",43825
"42",3358,"Landkreis Heidekreis",136251
"347",13072,"Landkreis Rostock",210555
"237",9181,"Landsberg am Lech",114926
"247",9261,"Landshut",66179
"253",9274,"Landshut",150316
"57",3457,"Leer",164792
"362",14713,"Leipzig",531562
"363",14729,"Leipzig",257596
"82",5316,"Leverkusen",160819
"280",9478,"Lichtenfels",66644
"134",6533,"Limburg-Weilburg",169964
"315",9776,"Lindau (Bodensee)",78939
"103",5766,"Lippe",345374
"213",8336,"Lörrach",221943
"4",1003,"Lübeck",212958
"38",3354,"Lüchow-Dannenberg",48670
"184",8118,"Ludwigsburg",521633
"163",7314,"Ludwigshafen am Rhein",161518
"351",13076,"Ludwigslust-Parchim",211965
"39",3355,"Lüneburg",176727
"367",15003,"Magdeburg",231021
"126",6435,"Main-Kinzig-Kreis",404995
"303",9677,"Main-Spessart",126295
"190",8128,"Main-Tauber-Kreis",129857
"127",6436,"Main-Taunus-Kreis",228021
"164",7315,"Mainz",204268
"178",7339,"Mainz-Bingen",203338
"198",8222,"Mannheim",296690
"374",15087,"Mansfeld-Südharz",143246
"135",6534,"Marburg-Biedenkopf",241656
"334",12064,"Märkisch-Oderland",187668
"113",5962,"Märkischer Kreis",416240
"150",7137,"Mayen-Koblenz",209785
"346",13071,"Mecklenburgische Seenplatte",262412
"360",14627,"Meißen",243716
"309",9764,"Memmingen",41772
"321",10042,"Merzig-Wadern",103135
"76",5158,"Mettmann",476633
"238",9182,"Miesbach",96049
"302",9676,"Miltenberg",127909
"104",5770,"Minden-Lübbecke",309356
"354",14522,"Mittelsachsen",314591
"69",5116,"Mönchengladbach",255430
"239",9183,"Mühldorf a.Inn",109227
"70",5117,"Mülheim an der Ruhr",166640
"225",9162,"München",1407836
"240",9184,"München",329981
"93",5515,"Münster",299708
"199",8225,"Neckar-Odenwald-Kreis",141584
"314",9775,"Neu-Ulm",166643
"241",9185,"Neuburg-Schrobenhausen",92700
"264",9373,"Neumarkt i.d.OPf.",127826
"5",1004,"Neumünster",77058
"322",10043,"Neunkirchen",133222
"291",9575,"Neustadt a.d.Aisch-Bad Windsheim",97482
"265",9374,"Neustadt a.d.Waldnaab",95447
"165",7316,"Neustadt an der Weinstraße",52400
"151",7138,"Neuwied",179454
"33",3256,"Nienburg (Weser)",119848
"8",1054,"Nordfriesland",161923
"386",16062,"Nordhausen",85380
"364",14730,"Nordsachsen",197346
"349",13074,"Nordwestmecklenburg",155265
"24",3155,"Northeim",134661
"285",9564,"Nürnberg",498876
"290",9574,"Nürnberger Land",165000
"319",9780,"Oberallgäu",150478
"88",5374,"Oberbergischer Kreis",270290
"71",5119,"Oberhausen",209097
"335",12065,"Oberhavel",203012
"336",12066,"Oberspreewald-Lausitz",113842
"128",6437,"Odenwaldkreis",96201
"337",12067,"Oder-Spree",176850
"129",6438,"Offenbach",338300
"120",6413,"Offenbach am Main",119203
"58",3458,"Oldenburg",125778
"48",3403,"Oldenburg (Oldenburg)",159610
"114",5966,"Olpe",134947
"208",8317,"Ortenaukreis",412678
"49",3404,"Osnabrück",156315
"59",3459,"Osnabrück",350302
"192",8136,"Ostalbkreis",306933
"316",9777,"Ostallgäu",134771
"40",3356,"Osterholz",110882
"25",3156,"Osterode am Harz",74367
"9",1055,"Ostholstein",197835
"338",12068,"Ostprignitz-Ruppin",98944
"105",5774,"Paderborn",296688
"248",9262,"Passau",49454
"254",9275,"Passau",185671
"26",3157,"Peine",130147
"242",9186,"Pfaffenhofen a.d.Ilm",119987
"201",8231,"Pforzheim",117754
"10",1056,"Pinneberg",301223
"166",7317,"Pirmasens",40101
"11",1057,"Plön",126643
