"","DistrictName","FoundationsDensity100k"
"348","Mecklenburgische Seenplatte",7.9
"365","Meißen",6.9
"9","Memmingen",65.5
"310","Merzig-Wadern",10.6
"193","Mettmann",17.6
"65","Miesbach",34.1
"110","Miltenberg",25
"216","Minden-Lübbecke",16.1
"356","Mittelsachsen",7.5
"304","Mönchengladbach",11
"264","Mühldorf a.Inn",13.1
"196","Mülheim an der Ruhr",17.4
"114","München",24
"8","München Landeshauptstadt",65.6
"18","Münster",59.6
"290","Neckar-Odenwald-Kreis",11.9
"229","Neu-Ulm",15.2
"172","Neuburg-Schrobenhausen",18.7
"170","Neumarkt i.d.OPf.",18.9
"183","Neumünster",18.1
"320","Neunkirchen",9.6
"97","Neustadt a.d.Aisch-Bad Windsheim",26.7
"299","Neustadt a.d.Waldnaab",11.4
"31","Neustadt an der Weinstraße",47.8
"103","Neuwied",25.5
"139","Nienburg (Weser)",22.2
"25","Nordfriesland",54
"276","Nordhausen",12.7
"384","Nordsachsen",5.5
"285","Nordwestmecklenburg",12.2
"113","Northeim",24.2
"34","Nürnberg",44.5
"180","Nürnberger Land",18.3
"100","Oberallgäu",26.2
"191","Oberbergischer",17.6
"334","Oberhausen",8.6
"400","Oberhavel",3
"367","Oberspreewald-Lausitz",6.8
"95","Odenwaldkreis",26.9
"392","Oder-Spree",4.5
"295","Offenbach",11.7
"101","Offenbach am Main",26.1
"156","Oldenburg",20.8
"6","Oldenburg (Oldenburg)",71.7
"279","Olpe",12.5
"252","Ortenaukreis",13.9
"150","Osnabröck",21.4
"36","Osnabrück",44
"214","Ostalbkreis",16.3
"128","Ostallgäu",23.2
"106","Osterholz",25.3
"178","Osterode am Harz",18.4
"164","Ostholstein",19.7
"378","Ostprignitz-Ruppin",6
"192","Paderborn",17.6
"15","Passau",61.7
"326","Passau",9.2
"308","Peine",10.8
"368","Pfaffenhofen a.d.Ilm",6.8
"84","Pforzheim",28.6
"253","Pinneberg",13.8
"72","Pirmasens",32
"81","Plön",29.1
"68","Potsdam",33
"396","Potsdam-Mittelmark",3.4
"353","Prignitz",7.5
"287","Rastatt",12.2
"92","Ravensburg",27.4
"272","Recklinghausen",12.8
"225","Regen",15.7
"22","Regensburg",55
"362","Regensburg",7.1
"61","Region Hannover",35
"185","Rems-Murr-Kreis",17.9
"227","Remscheid",15.4
"131","Rendsburg-Eckernförde",23.1
"135","Reutlingen",22.7
"330","Rhein-Erft-Kreis",9.1
"158","Rhein-Hunsrück-Kreis",20.7
"217","Rhein-Kreis Neuss",16
"226","Rhein-Lahn-Kreis",15.5
"352","Rhein-Neckar-Kreis",7.6
"258","Rhein-Pfalz-Kreis",13.6
"195","Rhein-Sieg-Kreis",17.4
"148","Rheingau-Taunus-Kreis",21.6
"203","Rheinisch-Bergischer",16.9
"111","Rhön-Grabfeld",24.9
"46","Rosenheim",38.6
"184","Rosenheim",17.9
"313","Rostock",9.9
"394","Rostock",4.2
"93","Rotenburg (Wümme)",27.1
"284","Roth",12.2
"323","Rottal-Inn",9.4
"251","Rottweil",14
"321","Saale-Holzland-Kreis",9.4
"379","Saale-Orla-Kreis",5.9
"380","Saalekreis",5.8
"317","Saalfeld-Rudolstadt",9.8
"127","Saarbrücken",23.2
"333","Saarlouis",8.6
"143","Saarpfalz-Kreis",22.1
"335","Sächsische Schweiz-Osterzgebirge",8.5
"376","Salzgitter",6.1
"209","Salzlandkreis",16.7
"187","Schaumburg",17.8
"213","Schleswig-Flensburg",16.3
"349","Schmalkalden-Meiningen",7.9
"157","Schwabach",20.7
"269","Schwäbisch Hall",12.9
"154","Schwalm-Eder-Kreis",21
"291","Schwandorf",11.9
"190","Schwarzwald-Baar-Kreis",17.6
"1","Schweinfurt",103.6
"245","Schweinfurt",14.2
"144","Schwerin Landeshauptstadt",21.9
"327","Segeberg",9.2
"146","Siegen-Wittgenstein",21.7
"96","Sigmaringen",26.7
"236","Soest",14.8
"109","Solingen",25.1
"74","Soltau-Fallingbostel",30.9
"316","Sömmerda",9.8
"397","Sonneberg",3.4
"23","Speyer",54.3
"395","Spree-Neiße",4.1
"186","St. Wendel",17.8
"153","Stade",21
"48","Starnberg",38.2
"168","Steinburg",19.2
"280","Steinfurt",12.4
"303","Stendal",11
"205","Stormarn",16.9
"80","Straubing",29.1
"360","Straubing-Bogen",7.3
"13","Stuttgart Landeshauptstadt",62.6
"224","Südliche Weinstraße",15.7
"375","Südwestpfalz",6.1
"402","Suhl",2.7
"387","Teltow-Fläming",5
"259","Tirschenreuth",13.4
"179","Traunstein",18.4
"35","Trier",44.2
"311","Trier-Saarburg",10.5
"60","Tübingen",35.2
"315","Tuttlingen",9.8
"319","Uckermark",9.7
"89","Uelzen",27.9
"20","Ulm",56.2
"305","Unna",10.9
"244","Unstrut-Hainich-Kreis",14.2
"159","Unterallgäu",20.6
"40","Vechta",40.7
"163","Verden",19.7
"286","Viersen",12.2
"176","Vogelsbergkreis",18.5
"361","Vogtlandkreis",7.1
"289","Vorpommern-Greifswald",12
"331","Vorpommern-Rügen",8.9
"318","Vulkaneifel",9.8
"262","Waldeck-Frankenberg",13.3
"188","Waldshut",17.8
"173","Warendorf",18.7
"385","Wartburgkreis",5.5
"58","Weiden i.d.OPf.",35.9
"137","Weilheim-Schongau",22.5
"42","Weimar",39.8
"338","Weimarer Land",8.5
"52","Weißenburg-Gunzenhausen",36.9
"120","Werra-Meißner-Kreis",23.6
"246","Wesel",14.1
"123","Wesermarsch",23.5
"265","Westerwaldkreis",13
"133","Wetteraukreis",22.9
"66","Wiesbaden Landeshauptstadt",34
"155","Wilhelmshaven",20.8
"271","Wittenberg",12.9
"132","Wittmund",23
"82","Wolfenbüttel",29.1
"250","Wolfsburg",14.1
"117","Worms",23.9
"108","Wunsiedel i.Fichtelgebirge",25.2
"105","Wuppertal",25.4
"2","Würzburg",89.2
"364","Würzburg",7
"207","Zollernalbkreis",16.7
"70","Zweibrücken",32.2
"372","Zwickau",6.6
